Llama_ROUGE-1,Llama_ROUGE-2,Llama_ROUGE-L,Llama_BLEU-1,Llama_BLEU-2,Llama_BLEU-3,Llama_BLEU-4,Llama_BLEU,Llama_METEOR,Llama_BERTScore-F1,id
0.406,0.2121,0.3233,0.1705,0.1144,0.077,0.0518,0.0518,0.2131,0.1945,0
0.4663,0.1988,0.2945,0.366,0.2195,0.1327,0.0412,0.0412,0.2762,0.2691,1
0.4076,0.1435,0.237,0.1891,0.1018,0.0756,0.059,0.059,0.164,0.2361,2
0.4286,0.1884,0.2857,0.2927,0.1901,0.1312,0.0962,0.0962,0.4176,0.3066,3
0.582,0.2674,0.4868,0.4155,0.2728,0.1754,0.1255,0.1255,0.3886,0.399,4
0.5608,0.2139,0.4233,0.3777,0.2195,0.146,0.0967,0.0967,0.3277,0.4464,5
0.5479,0.3502,0.4384,0.3932,0.3151,0.2605,0.2135,0.2135,0.375,0.351,6
0.4297,0.1496,0.2813,0.2295,0.1269,0.076,0.0519,0.0519,0.1799,0.2016,7
0.4378,0.1005,0.2587,0.3205,0.109,0.0223,0.0101,0.0101,0.1994,0.2742,8
0.3415,0.0864,0.2073,0.25,0.0974,0.0496,0.0199,0.0199,0.1978,0.1724,9
0.5291,0.1497,0.2646,0.4501,0.2,0.0965,0.0565,0.0565,0.3354,0.2615,10
0.4302,0.1529,0.2442,0.2857,0.1329,0.082,0.0584,0.0584,0.254,0.249,11
0.2667,0.1356,0.2333,0.1573,0.1036,0.0627,0.0411,0.0411,0.3377,0.1974,12
0.137,0.0276,0.0731,0.0191,0.0027,0.0014,0.001,0.001,0.0172,-0.2503,13
0.3656,0.1087,0.2151,0.2382,0.1174,0.0238,0.0107,0.0107,0.1732,0.0145,14
0.5207,0.2275,0.3314,0.3738,0.2348,0.1524,0.0787,0.0787,0.3194,0.3892,15
0.4417,0.236,0.2822,0.3896,0.2582,0.1644,0.0495,0.0495,0.2968,0.3224,16
0.5616,0.3472,0.411,0.3875,0.2888,0.2341,0.1848,0.1848,0.5186,0.4065,17
0.2385,0.0187,0.1468,0.1846,0.0537,0.0166,0.0093,0.0093,0.1683,0.0021,18
0.4571,0.1387,0.2743,0.3439,0.1672,0.0995,0.0329,0.0329,0.2653,0.2199,19
0.3886,0.1914,0.2559,0.2304,0.1588,0.1188,0.089,0.089,0.2244,0.1763,20
0.3025,0.1197,0.2017,0.1471,0.0937,0.0736,0.0592,0.0592,0.1878,0.143,21
0.2699,0.0556,0.1472,0.0871,0.0353,0.0144,0.0052,0.0052,0.0993,-0.0991,22
0.3975,0.1258,0.2733,0.2048,0.05,0.0146,0.0079,0.0079,0.1776,0.376,23
0.4968,0.2452,0.3694,0.4737,0.3078,0.2172,0.1539,0.1539,0.3614,0.2955,24
0.3363,0.0541,0.1947,0.1045,0.0126,0.0062,0.0044,0.0044,0.1322,-0.0231,25
0.4048,0.1687,0.25,0.25,0.1207,0.0243,0.0109,0.0109,0.328,0.1327,26
0.3433,0.1364,0.2388,0.2,0.1091,0.066,0.0432,0.0432,0.2982,0.1518,27
0.2353,0.0357,0.1412,0.1282,0.0106,0.0046,0.0031,0.0031,0.0866,-0.1006,28
0.3874,0.1693,0.2827,0.2594,0.171,0.1305,0.0962,0.0962,0.2543,0.1512,29
0.498,0.2024,0.3293,0.2619,0.1675,0.1086,0.0737,0.0737,0.2523,0.3882,30
0.2867,0.0915,0.1818,0.0675,0.034,0.0179,0.0109,0.0109,0.1046,0.0247,31
0.3333,0.1,0.2072,0.173,0.0915,0.059,0.04,0.04,0.1817,0.0826,32
0.3653,0.1382,0.1918,0.2445,0.142,0.0825,0.0446,0.0446,0.2211,0.113,33
0.4359,0.1169,0.2308,0.3085,0.1411,0.06,0.0221,0.0221,0.3274,0.206,34
0.4743,0.2231,0.3399,0.2172,0.1343,0.0894,0.065,0.065,0.2053,0.2545,35
0.2927,0.1393,0.1951,0.146,0.1004,0.0738,0.0564,0.0564,0.1694,-0.0923,36
0.356,0.1058,0.2408,0.2032,0.1129,0.0614,0.0215,0.0215,0.1822,0.2615,37
0.5313,0.2421,0.3021,0.3784,0.2373,0.1537,0.1043,0.1043,0.3484,0.2495,38
0.4581,0.2147,0.3575,0.354,0.227,0.1672,0.121,0.121,0.2747,0.2515,39
0.4171,0.1405,0.2139,0.2871,0.1313,0.0558,0.0205,0.0205,0.2032,0.1971,40
0.3711,0.1667,0.2268,0.3077,0.1654,0.0675,0.0243,0.0243,0.2181,0.2959,41
0.3644,0.1256,0.2489,0.2132,0.1195,0.0813,0.0592,0.0592,0.2018,0.1393,42
0.351,0.1867,0.2649,0.0665,0.0413,0.0256,0.0129,0.0129,0.1552,0.2004,43
0.2595,0.1308,0.1908,0.0436,0.034,0.0275,0.0231,0.0231,0.0721,-0.1713,44
0.2624,0.0913,0.181,0.1206,0.0702,0.0467,0.0322,0.0322,0.1387,0.0569,45
0.3533,0.1745,0.28,0.1041,0.0696,0.0524,0.0413,0.0413,0.1574,0.0905,46
0.2314,0.1008,0.1322,0.1124,0.0505,0.0143,0.0076,0.0076,0.1967,0.0748,47
0.515,0.1818,0.2874,0.2857,0.138,0.0598,0.0222,0.0222,0.2858,0.1794,48
0.4265,0.2488,0.3128,0.1561,0.1127,0.0833,0.0643,0.0643,0.2446,0.3751,49
0.5963,0.3519,0.4404,0.3925,0.2682,0.1981,0.1485,0.1485,0.3098,0.4393,50
0.2,0.0408,0.14,0.1129,0.043,0.0146,0.0085,0.0085,0.1414,-0.1371,51
0.3949,0.1419,0.293,0.3506,0.2038,0.1184,0.0688,0.0688,0.2902,0.1325,52
0.3858,0.1128,0.1929,0.2254,0.0942,0.0521,0.0184,0.0184,0.177,0.1557,53
0.4941,0.2262,0.3647,0.3872,0.2465,0.1768,0.1336,0.1336,0.2798,0.3356,54
0.3129,0.069,0.1361,0.1905,0.0479,0.0141,0.0077,0.0077,0.2209,0.0736,55
0.3636,0.1256,0.1914,0.2387,0.1387,0.0856,0.0567,0.0567,0.1613,0.0772,56
0.4068,0.2171,0.3503,0.3107,0.2173,0.1537,0.105,0.105,0.2234,0.3753,57
0.3171,0.0988,0.2195,0.2499,0.0795,0.0201,0.0101,0.0101,0.1558,0.0571,58
0.3385,0.1244,0.2359,0.3131,0.1958,0.1334,0.0928,0.0928,0.201,0.0598,59
0.3109,0.1152,0.2383,0.0896,0.0415,0.0203,0.008,0.008,0.1318,0.0807,60
0.3754,0.2714,0.3402,0.0842,0.0692,0.0594,0.0527,0.0527,0.1782,0.1676,61
0.2222,0.0269,0.1244,0.055,0.0051,0.0023,0.0015,0.0015,0.0616,-0.1278,62
0.3951,0.1,0.2099,0.3164,0.1274,0.0595,0.023,0.023,0.2195,0.1544,63
0.3485,0.1538,0.2424,0.186,0.1146,0.0777,0.058,0.058,0.3212,0.1942,64
0.332,0.1036,0.1739,0.1503,0.086,0.0512,0.0333,0.0333,0.1788,0.0728,65
0.3265,0.1237,0.2041,0.2152,0.1009,0.046,0.0175,0.0175,0.1726,0.1297,66
0.233,0.0792,0.1942,0.1429,0.0455,0.0145,0.0082,0.0082,0.203,0.1248,67
0.5031,0.323,0.4049,0.3908,0.2938,0.2301,0.1901,0.1901,0.47,0.295,68
0.5,0.191,0.3333,0.3806,0.1831,0.1039,0.071,0.071,0.2465,0.3521,69
0.4946,0.3152,0.3333,0.375,0.2785,0.2082,0.1651,0.1651,0.3556,0.3518,70
0.225,0.0253,0.1125,0.0508,0.0066,0.0034,0.0024,0.0024,0.0395,-0.2994,71
0.4286,0.2222,0.3407,0.2723,0.1719,0.121,0.0774,0.0774,0.2176,0.1896,72
0.1475,0.0331,0.1066,0.0041,0.0009,0.0006,0.0004,0.0004,0.0176,-0.2409,73
0.622,0.4198,0.5488,0.5181,0.413,0.342,0.284,0.284,0.5095,0.5538,74
0.4667,0.236,0.3556,0.3388,0.203,0.1322,0.0851,0.0851,0.2287,0.2105,75
0.3701,0.1825,0.3071,0.1685,0.1088,0.067,0.0464,0.0464,0.1954,0.1325,76
0.3291,0.1923,0.2911,0.2222,0.1581,0.1165,0.0798,0.0798,0.1802,0.2599,77
0.4154,0.1562,0.3077,0.2278,0.1081,0.0248,0.0119,0.0119,0.3193,0.2468,78
0.5603,0.2435,0.3793,0.3956,0.2317,0.1485,0.0843,0.0843,0.3517,0.3634,79
0.2264,0.0637,0.1635,0.141,0.0428,0.0134,0.0075,0.0075,0.1217,0.004,80
0.3627,0.1152,0.2591,0.2344,0.1055,0.0475,0.018,0.018,0.1818,0.113,81
0.4467,0.1949,0.3249,0.3069,0.1926,0.1429,0.1159,0.1159,0.2756,0.1702,82
0.4485,0.2086,0.3273,0.3544,0.2132,0.1331,0.042,0.042,0.2928,0.2451,83
0.5488,0.2099,0.3537,0.481,0.2831,0.1733,0.091,0.091,0.4146,0.4166,84
0.3741,0.2482,0.2878,0.2707,0.2075,0.1786,0.1562,0.1562,0.2353,0.0312,85
0.396,0.24,0.3465,0.1615,0.1208,0.0875,0.0664,0.0664,0.2325,0.0824,86
0.3684,0.115,0.2281,0.1714,0.0717,0.0146,0.0066,0.0066,0.1805,0.1693,87
0.1311,0.0,0.0984,0.0714,0.0093,0.0047,0.0034,0.0034,0.0959,-0.1192,88
0.2326,0.063,0.155,0.1477,0.013,0.0058,0.0039,0.0039,0.1862,0.0756,89
0.5401,0.2468,0.3291,0.3847,0.2446,0.1725,0.1221,0.1221,0.3058,0.2522,90
0.3682,0.1891,0.296,0.1547,0.0886,0.0465,0.0145,0.0145,0.1569,0.2725,91
0.352,0.1301,0.192,0.1954,0.1066,0.0644,0.0238,0.0238,0.3701,0.143,92
0.2286,0.0231,0.1143,0.052,0.0198,0.0067,0.0039,0.0039,0.0775,-0.0718,93
0.3684,0.1467,0.2368,0.2857,0.1226,0.0585,0.0228,0.0228,0.2462,0.1715,94
0.2452,0.0784,0.129,0.0955,0.043,0.0122,0.0065,0.0065,0.0794,-0.1311,95
0.4571,0.1346,0.3333,0.2541,0.1316,0.051,0.0179,0.0179,0.1948,0.3835,96
0.4901,0.2416,0.3444,0.4,0.2651,0.1794,0.1125,0.1125,0.3591,0.2127,97
0.4828,0.1826,0.319,0.2865,0.1682,0.1236,0.1034,0.1034,0.2366,0.3095,98
0.1714,0.0,0.0857,0.0988,0.0111,0.0054,0.0038,0.0038,0.1111,-0.1577,99
0.3511,0.129,0.2447,0.1944,0.0933,0.0619,0.0457,0.0457,0.1833,0.0162,100
0.4615,0.1778,0.2857,0.3068,0.1622,0.0658,0.0237,0.0237,0.2885,0.2781,101
0.4068,0.1714,0.2147,0.2637,0.1432,0.0884,0.0529,0.0529,0.2783,0.1965,102
0.4574,0.1935,0.3298,0.3246,0.2096,0.1089,0.0712,0.0712,0.2646,0.2502,103
0.2695,0.0714,0.234,0.1995,0.1087,0.0192,0.0081,0.0081,0.1371,-0.2213,104
0.3718,0.1558,0.2692,0.2727,0.1584,0.0956,0.0319,0.0319,0.2707,0.0829,105
0.2242,0.0633,0.1345,0.0243,0.0078,0.002,0.001,0.001,0.0726,-0.0385,106
0.3649,0.2055,0.3378,0.2673,0.1594,0.0888,0.056,0.056,0.1565,0.1898,107
0.4667,0.2135,0.3667,0.3332,0.2329,0.1722,0.1321,0.1321,0.2761,0.2765,108
0.4253,0.2093,0.3448,0.3647,0.2552,0.1845,0.1323,0.1323,0.331,0.1937,109
0.2655,0.1261,0.2124,0.0789,0.0103,0.0052,0.0037,0.0037,0.2194,0.0594,110
0.3229,0.1263,0.25,0.2872,0.1667,0.1147,0.0759,0.0759,0.2012,0.118,111
0.5226,0.2741,0.3618,0.3051,0.2114,0.1435,0.0997,0.0997,0.2905,0.2776,112
0.4693,0.1808,0.3128,0.3548,0.206,0.1326,0.1009,0.1009,0.2755,0.3061,113
0.5243,0.2549,0.2718,0.4732,0.3188,0.2226,0.1603,0.1603,0.3826,0.2798,114
0.3916,0.1702,0.2517,0.2471,0.1435,0.0792,0.0496,0.0496,0.1957,0.1882,115
0.2393,0.0696,0.2051,0.1039,0.037,0.0122,0.007,0.007,0.1973,0.1095,116
0.4267,0.1892,0.3067,0.325,0.2127,0.1203,0.0388,0.0388,0.3064,0.2691,117
0.1613,0.0164,0.129,0.086,0.0097,0.0047,0.0033,0.0033,0.1412,0.0033,118
0.4167,0.1127,0.2778,0.2235,0.0893,0.0213,0.0104,0.0104,0.2336,0.1364,119
0.378,0.1605,0.2683,0.2738,0.1723,0.1028,0.0605,0.0605,0.2429,0.115,120
0.24,0.0,0.112,0.0632,0.0059,0.0027,0.0018,0.0018,0.078,0.0523,121
0.4,0.1554,0.2667,0.2755,0.1386,0.0579,0.0211,0.0211,0.211,0.2595,122
0.3317,0.132,0.2111,0.1444,0.0727,0.0158,0.0074,0.0074,0.1603,0.0981,123
0.4125,0.1647,0.3113,0.2181,0.1323,0.0643,0.0192,0.0192,0.2184,0.2259,124
0.455,0.1925,0.2963,0.3176,0.1678,0.0982,0.0573,0.0573,0.2168,0.1809,125
0.272,0.0726,0.176,0.1367,0.0626,0.0384,0.0273,0.0273,0.1244,-0.0133,126
0.375,0.1392,0.2625,0.2262,0.1279,0.0584,0.0223,0.0223,0.2549,0.1544,127
0.4911,0.1532,0.2946,0.3048,0.1619,0.0829,0.0452,0.0452,0.2453,0.2961,128
0.4627,0.1897,0.2745,0.1884,0.1095,0.0728,0.0547,0.0547,0.1812,0.2289,129
0.3774,0.1146,0.2516,0.2614,0.1226,0.0806,0.0593,0.0593,0.2449,0.1701,130
0.2667,0.1356,0.2,0.1529,0.0853,0.0641,0.0503,0.0503,0.3147,0.1216,131
0.2087,0.0177,0.1217,0.125,0.0398,0.0127,0.0072,0.0072,0.1466,0.03,132
0.3333,0.0563,0.2222,0.1711,0.0478,0.0146,0.0081,0.0081,0.1352,-0.0216,133
0.1447,0.0172,0.0851,0.0357,0.012,0.0039,0.0022,0.0022,0.0519,-0.2675,134
0.4568,0.1125,0.284,0.2785,0.0585,0.0162,0.0086,0.0086,0.1726,0.2525,135
0.358,0.1125,0.2222,0.2532,0.0987,0.0502,0.0202,0.0202,0.1978,0.3033,136
0.4797,0.2541,0.3577,0.1505,0.1085,0.0801,0.0499,0.0499,0.1979,0.2514,137
0.3537,0.0864,0.1585,0.2927,0.1202,0.0262,0.0123,0.0123,0.2017,0.0543,138
0.3235,0.0815,0.1838,0.1142,0.0383,0.0086,0.0041,0.0041,0.1327,0.0618,139
0.3602,0.0629,0.1988,0.3012,0.1212,0.0263,0.0123,0.0123,0.1972,0.1067,140
0.2958,0.1143,0.2254,0.1798,0.1011,0.0227,0.0108,0.0108,0.2515,0.0888,141
0.375,0.1263,0.25,0.2721,0.149,0.0883,0.0518,0.0518,0.2027,0.107,142
0.4667,0.2373,0.3,0.2727,0.1894,0.1242,0.0848,0.0848,0.4079,0.3488,143
0.2609,0.0126,0.1615,0.1928,0.0153,0.0066,0.0044,0.0044,0.1419,-0.0637,144
0.3883,0.1765,0.2718,0.2256,0.1526,0.1162,0.0773,0.0773,0.1702,0.2538,145
0.2614,0.0795,0.1307,0.1363,0.056,0.0154,0.0081,0.0081,0.1118,-0.1105,146
0.2426,0.0593,0.125,0.06,0.0308,0.0137,0.0051,0.0051,0.0899,-0.1281,147
0.4539,0.2446,0.2553,0.2593,0.1506,0.0831,0.0293,0.0293,0.3932,0.3026,148
0.5024,0.1659,0.2512,0.3762,0.1735,0.0847,0.0281,0.0281,0.2725,0.2515,149
0.5209,0.2441,0.3721,0.3304,0.1986,0.147,0.1066,0.1066,0.3024,0.3332,150
0.5319,0.1828,0.3723,0.3972,0.2457,0.1744,0.1239,0.1239,0.3169,0.3788,151
0.5,0.2697,0.3889,0.4471,0.3343,0.2661,0.2071,0.2071,0.4025,0.3287,152
0.4968,0.2581,0.3185,0.3537,0.2559,0.208,0.179,0.179,0.3786,0.3812,153
0.5103,0.2324,0.3539,0.2405,0.1459,0.0842,0.0565,0.0565,0.2316,0.3466,154
0.2888,0.0865,0.1711,0.1764,0.0889,0.0493,0.031,0.031,0.1475,0.0253,155
