id,generation_time_seconds,iterations,n_entities_pinned
0,1.742,6,9
1,0.782,4,8
2,0.894,4,10
3,1.111,6,10
4,0.713,4,8
5,4.561,23,5
6,1.25,4,8
7,2.424,6,9
8,1.346,6,9
9,2.86,6,10
10,3.825,6,12
11,1.439,6,11
12,1.189,6,10
13,1.342,4,11
14,3.043,6,12
15,5.846,29,8
16,1.907,4,6
17,1.416,6,8
18,2.867,6,8
19,1.151,4,8
20,1.13,4,10
21,2.438,6,8
22,3.107,6,11
23,2.043,6,10
24,2.26,4,13
25,3.114,6,10
26,3.436,17,10
27,1.212,6,11
28,3.85,6,10
29,1.42,6,11
30,2.395,6,10
31,1.133,4,10
32,1.266,4,9
33,2.063,6,10
34,1.748,6,11
35,1.392,6,10
36,1.376,4,11
37,3.147,6,9
38,1.905,6,10
39,3.179,6,8
40,7.669,41,10
41,2.894,6,9
42,0.977,4,11
43,0.933,4,12
44,1.736,6,8
45,1.94,4,9
46,1.61,4,11
47,5.277,26,10
48,2.407,6,7
49,1.129,6,8
50,2.438,6,10
51,1.425,6,8
52,1.738,6,9
53,1.237,4,10
54,1.872,6,9
55,2.449,6,8
56,1.157,4,10
57,1.149,6,10
58,2.394,6,9
59,0.0,0,0
60,1.582,4,11
61,1.887,6,11
62,2.08,6,9
63,1.689,6,12
64,1.364,6,5
65,3.637,6,6
66,1.239,4,8
67,1.112,4,6
68,2.421,6,9
69,3.071,6,8
70,6.273,31,9
71,2.394,6,9
72,1.882,6,9
73,2.026,6,10
74,1.226,6,13
75,1.135,4,10
76,1.134,4,10
77,0.934,4,8
78,2.417,6,11
79,1.894,6,10
80,1.662,6,10
81,1.352,6,10
82,1.896,6,11
83,1.89,6,11
84,1.652,6,9
85,1.675,6,7
86,2.828,6,9
87,1.894,6,7
88,1.144,4,11
89,1.125,4,9
90,2.363,6,9
91,0.927,4,10
92,1.134,4,9
93,2.365,6,8
94,2.586,6,11
95,1.706,6,10
96,1.196,6,10
97,1.657,6,9
98,1.315,4,12
99,2.432,6,10
100,1.331,4,11
101,1.231,4,9
102,2.366,6,11
103,2.603,6,8
104,3.245,4,11
105,1.4,6,9
106,4.327,6,8
107,0.902,4,7
108,2.359,6,8
109,0.785,4,7
110,1.099,6,12
111,1.116,6,11
112,1.385,6,8
113,1.4,6,8
114,1.326,6,10
115,1.977,6,9
116,2.419,6,9
117,1.354,6,11
118,0.912,4,9
119,3.132,6,14
120,1.609,4,9
121,4.287,6,11
122,2.592,6,11
123,1.145,4,9
124,1.402,6,10
125,1.405,6,9
126,0.879,4,9
127,0.915,4,9
128,1.661,6,8
129,2.401,6,8
130,1.216,6,10
131,1.129,4,7
132,1.144,4,11
133,0.929,4,9
134,1.614,4,13
135,1.111,6,11
136,1.824,4,11
137,1.101,6,11
138,0.894,4,10
139,6.254,31,11
140,1.344,6,10
141,0.786,4,8
142,1.698,6,11
143,0.994,6,8
144,1.651,6,10
145,2.025,6,7
146,1.383,6,12
147,3.126,6,9
148,1.592,4,8
149,0.893,4,10
150,0.793,4,10
151,1.349,6,9
152,1.656,6,9
153,4.503,24,8
154,1.861,6,9
155,2.383,6,7
156,4.348,6,11
157,1.363,6,10
158,1.112,4,9
159,2.032,4,9
160,1.394,6,8
161,1.435,6,11
162,7.087,35,8
163,1.379,6,8
164,1.123,6,9
165,2.86,6,8
166,2.631,6,9
167,8.432,42,8
168,1.723,4,8
169,1.966,6,11
170,1.605,4,7
171,1.19,6,10
172,1.672,6,11
173,0.788,4,8
174,1.35,6,11
175,1.666,6,12
176,2.598,6,11
177,1.707,6,11
178,1.192,6,10
179,0.925,4,12
180,1.145,4,9
181,1.868,6,10
182,0.79,4,11
183,3.767,19,6
184,1.433,6,11
185,2.407,6,10
186,1.322,6,11
187,1.122,6,11
188,1.611,4,8
189,1.103,4,9
190,1.407,6,7
191,1.697,6,9
192,1.988,6,9
193,1.239,4,11
194,2.344,6,11
195,2.289,4,11
196,1.646,6,8
197,1.613,4,6
198,0.963,4,15
199,1.964,6,9
200,1.985,6,8
201,1.377,6,10
202,2.363,4,11
203,1.438,6,11
204,1.365,6,10
205,1.883,6,8
206,1.128,6,11
207,2.774,6,9
208,1.322,6,11
209,1.828,6,12
210,1.648,6,11
211,1.201,6,10
212,1.208,6,10
213,1.225,4,10
214,1.14,4,12
215,0.908,4,11
216,1.132,4,9
217,1.853,6,10
218,2.41,6,12
219,1.146,4,11
220,1.715,4,11
221,2.344,6,9
222,2.605,6,10
223,0.878,4,12
224,1.351,6,11
225,1.71,6,11
226,1.349,6,10
227,1.209,6,8
228,1.383,6,10
229,1.11,4,11
230,2.369,6,8
231,1.571,4,9
232,1.249,4,10
233,1.205,6,8
234,1.146,4,11
235,1.706,6,10
236,1.694,6,9
237,1.715,4,9
238,7.061,38,11
239,1.099,4,8
240,1.21,6,10
241,1.878,6,10
242,1.83,6,13
243,1.666,6,10
244,2.685,6,12
245,2.572,6,7
246,1.866,6,9
247,1.839,6,9
248,2.764,6,11
249,0.789,4,8
250,1.192,6,10
251,1.356,4,10
252,1.705,6,13
253,2.394,6,11
254,1.862,6,9
255,2.668,6,12
256,1.242,4,7
257,0.795,4,5
