id,generation_time_seconds,diffusion_steps,n_entities_pinned
0,17.202,64,8
1,9.662,64,8
2,13.865,64,9
3,12.09,64,11
4,11.777,64,9
5,7.885,64,5
6,19.03,64,8
7,24.106,64,9
8,13.727,64,9
9,27.553,64,9
10,36.973,64,12
11,16.854,64,11
12,13.027,64,10
13,20.474,64,11
14,29.094,64,11
15,9.699,64,8
16,27.522,64,7
17,14.075,64,9
18,27.615,64,8
19,17.24,64,9
20,17.247,64,11
21,23.938,64,8
22,29.083,64,10
23,20.313,64,11
24,29.545,64,14
25,29.441,64,11
26,7.966,64,10
27,12.2,64,12
28,37.103,64,10
29,14.013,64,9
30,23.44,64,10
31,17.138,64,10
32,18.772,64,11
33,20.254,64,10
34,17.503,64,11
35,14.07,64,11
36,20.305,64,12
37,29.435,64,9
38,18.563,64,9
39,29.293,64,7
40,8.955,64,10
41,27.412,64,9
42,14.279,64,11
43,13.728,64,11
44,17.337,64,8
45,26.831,64,8
46,23.673,64,11
47,9.573,64,10
48,23.644,64,9
49,9.78,64,9
50,23.682,64,9
51,13.95,64,8
52,17.572,64,9
53,17.601,64,10
54,18.716,64,8
55,25.515,64,9
56,17.252,64,10
57,12.21,64,10
58,20.652,64,9
59,138.754,64,9
60,20.554,64,12
61,18.736,64,11
62,20.533,64,10
63,17.118,64,11
64,13.575,64,5
65,35.09,64,7
66,18.706,64,8
67,16.876,64,7
68,23.724,64,8
69,29.36,64,7
70,9.582,64,8
71,23.744,64,8
72,18.385,64,9
73,20.35,64,9
74,13.045,64,12
75,17.253,64,10
76,17.366,64,10
77,14.063,64,11
78,23.721,64,11
79,18.955,64,12
80,16.961,64,11
81,13.459,64,10
82,18.589,64,11
83,18.388,64,12
84,14.244,64,8
85,17.101,64,6
86,27.426,64,9
87,19.108,64,8
88,17.275,64,11
89,17.096,64,9
90,20.696,64,10
91,13.829,64,10
92,17.274,64,9
93,23.579,64,9
94,24.124,64,10
95,17.365,64,10
96,12.947,64,10
97,16.881,64,10
98,20.021,64,13
99,25.692,64,10
100,20.052,64,9
101,18.64,64,10
102,23.516,64,10
103,25.85,64,7
104,47.464,64,10
105,14.053,64,10
106,44.982,64,9
107,13.645,64,7
108,23.685,64,8
109,12.864,64,8
110,9.763,64,12
111,12.024,64,11
112,13.913,64,10
113,13.996,64,8
114,13.064,64,10
115,18.515,64,9
116,23.819,64,8
117,13.64,64,9
118,13.863,64,10
119,29.557,64,12
120,23.919,64,9
121,40.608,64,9
122,25.575,64,11
123,17.473,64,8
124,13.883,64,10
125,13.955,64,8
126,13.101,64,9
127,13.828,64,9
128,17.068,64,9
129,23.898,64,10
130,13.133,64,10
131,17.089,64,7
132,17.356,64,10
133,14.12,64,11
134,24.15,64,12
135,11.88,64,11
136,26.056,64,11
137,12.004,64,11
138,13.487,64,9
139,9.755,64,11
140,13.576,64,10
141,12.884,64,8
142,17.399,64,10
143,9.694,64,8
144,16.911,64,9
145,20.419,64,7
146,13.865,64,10
147,29.677,64,9
148,23.791,64,8
149,13.533,64,10
150,13.176,64,10
151,13.705,64,9
152,16.885,64,10
153,9.249,64,8
154,18.944,64,10
155,23.71,64,6
156,40.178,64,11
157,13.838,64,11
158,17.129,64,10
159,27.635,64,10
160,13.929,64,9
161,14.182,64,11
162,9.738,64,8
163,13.962,64,7
164,12.115,64,8
165,26.955,64,8
166,26.035,64,9
167,9.633,64,8
168,25.654,64,8
169,18.543,64,12
170,24.152,64,6
171,12.169,64,10
172,17.069,64,11
173,9.58,64,9
174,13.615,64,11
175,17.208,64,12
176,25.854,64,11
177,17.54,64,10
178,12.982,64,11
179,13.91,64,12
180,17.473,64,8
181,18.407,64,11
182,13.125,64,10
183,7.847,64,6
184,14.066,64,9
185,23.78,64,10
186,13.495,64,11
187,12.055,64,11
188,24.063,64,9
189,14.268,64,9
190,16.948,64,8
191,17.12,64,9
192,20.177,64,9
193,18.88,64,10
194,20.461,64,11
195,33.263,64,10
196,16.93,64,8
197,24.034,64,7
198,16.891,64,14
199,19.111,64,7
200,20.164,64,9
201,13.943,64,9
202,35.054,64,11
203,14.059,64,11
204,13.738,64,10
205,18.568,64,8
206,12.196,64,11
207,27.204,64,10
208,13.152,64,12
209,18.705,64,13
210,14.17,64,10
211,12.961,64,10
212,13.142,64,10
213,17.645,64,8
214,17.336,64,11
215,13.767,64,11
216,17.263,64,8
217,18.732,64,9
218,23.977,64,12
219,17.477,64,9
220,25.545,64,12
221,23.517,64,8
222,25.662,64,12
223,13.041,64,12
224,13.593,64,11
225,17.455,64,10
226,13.617,64,11
227,13.076,64,8
228,13.814,64,10
229,16.99,64,11
230,23.668,64,8
231,20.57,64,10
232,18.598,64,10
233,13.178,64,8
234,17.447,64,11
235,17.506,64,10
236,17.242,64,8
237,24.071,64,9
238,9.129,64,10
239,16.884,64,7
240,13.153,64,11
241,18.521,64,9
242,18.669,64,13
243,16.966,64,10
244,25.961,64,12
245,25.84,64,7
246,19.041,64,11
247,18.769,64,9
248,26.186,64,10
249,13.125,64,9
250,12.916,64,10
251,20.47,64,9
252,17.502,64,12
253,23.946,64,10
254,19.107,64,10
255,25.787,64,13
256,19.092,64,7
257,9.795,64,5
258,14.258,64,9
259,17.241,64,9
260,20.156,64,8
261,12.088,64,9
262,19.048,64,9
263,23.604,64,10
264,16.803,64,11
265,13.072,64,11
266,13.215,64,10
267,13.786,64,8
268,36.898,64,11
269,34.869,64,9
270,9.5,64,12
271,20.518,64,9
272,29.78,64,12
273,23.987,64,8
274,11.89,64,7
275,13.038,64,8
276,20.632,64,9
277,17.452,64,10
278,20.017,64,11
279,34.948,64,9
280,13.623,64,7
281,23.582,64,8
282,17.252,64,9
283,14.143,64,8
284,20.261,64,11
285,13.117,64,10
286,20.544,64,11
287,25.766,64,7
288,16.883,64,8
289,20.366,64,11
290,18.942,64,10
291,16.89,64,10
292,25.702,64,8
293,14.199,64,11
294,18.29,64,11
