id,generation_time_seconds,diffusion_steps
13,6.85,512
42,5.366,512
45,7.413,512
64,4.968,512
110,4.45,512
141,4.793,512
152,5.436,512
166,7.248,512
245,7.221,512
256,6.05,512
274,4.548,512
308,6.449,512
346,6.028,512
388,5.795,512
392,7.557,512
412,6.843,512
413,5.028,512
414,5.673,512
424,6.25,512
437,5.162,512
459,6.08,512
477,6.055,512
504,5.771,512
515,5.747,512
551,5.598,512
559,4.938,512
574,5.471,512
580,5.081,512
614,6.276,512
648,6.714,512
687,5.67,512
726,4.807,512
789,5.044,512
814,8.442,512
853,5.559,512
881,4.928,512
886,5.388,512
892,5.458,512
904,5.797,512
932,7.046,512
952,6.515,512
958,6.296,512
984,5.792,512
1002,4.42,512
1005,6.991,512
1064,8.439,512
1074,6.232,512
1076,6.017,512
1083,6.321,512
1121,6.206,512
1124,4.369,512
1229,4.75,512
1252,5.356,512
1261,7.311,512
1291,6.79,512
1293,11.024,512
1302,5.047,512
1327,6.655,512
1351,6.658,512
1358,4.215,512
1360,8.288,512
1369,5.996,512
1371,5.757,512
1374,5.616,512
1379,5.656,512
1383,6.304,512
1395,4.446,512
1411,5.557,512
1461,7.287,512
1483,4.446,512
1485,5.089,512
1500,5.999,512
1517,5.367,512
1533,6.799,512
1547,6.86,512
1584,6.364,512
1628,8.316,512
1646,5.355,512
1648,7.519,512
1651,4.505,512
1653,4.934,512
1663,6.918,512
1668,5.609,512
1684,4.97,512
1705,5.62,512
1745,6.22,512
1754,4.829,512
1783,4.385,512
1787,8.858,512
1810,5.785,512
1821,4.946,512
1827,5.518,512
1840,4.531,512
1858,6.013,512
1861,6.256,512
1897,4.973,512
1900,6.325,512
1901,6.054,512
1914,4.362,512
1922,5.527,512
1937,5.179,512
1944,4.213,512
1981,8.292,512
2006,5.017,512
2033,7.391,512
2036,6.886,512
2071,5.012,512
2102,6.959,512
2109,6.222,512
2130,5.034,512
2132,6.988,512
2174,4.481,512
2195,6.231,512
2217,6.274,512
2222,5.649,512
2224,7.621,512
2272,6.077,512
2288,5.518,512
2303,9.344,512
2307,4.184,512
2312,5.72,512
2320,7.248,512
2332,5.024,512
2432,4.13,512
2479,7.344,512
2494,6.757,512
2514,5.663,512
2522,6.754,512
2549,4.782,512
2550,5.166,512
2669,6.802,512
2675,5.184,512
2687,4.946,512
2691,6.091,512
2698,4.36,512
2709,11.849,512
2726,5.664,512
2731,5.988,512
2737,5.068,512
2773,5.379,512
2780,4.476,512
2797,6.258,512
2799,4.505,512
2809,6.227,512
2822,5.05,512
2829,8.785,512
2881,5.007,512
2894,5.128,512
2907,6.992,512
2908,5.06,512
2950,5.081,512
2967,4.97,512
2983,8.873,512
2986,5.083,512
3016,7.068,512
3050,5.169,512
3082,9.66,512
3085,4.832,512
3095,4.858,512
3098,6.409,512
3099,6.424,512
3117,6.484,512
3157,6.089,512
3170,4.525,512
3186,7.627,512
3220,5.684,512
3233,5.714,512
3248,5.558,512
3264,6.159,512
3297,6.668,512
3320,5.638,512
3327,5.481,512
3330,5.441,512
3331,5.687,512
3372,5.472,512
