id,generation_time_seconds,tokens_generated
13,6.063,128
42,4.93,128
45,5.25,128
64,4.93,128
110,4.897,128
141,4.916,128
152,4.985,128
166,5.235,128
245,5.211,128
256,5.093,128
274,4.933,128
308,5.123,128
346,5.07,128
388,5.064,128
392,5.289,128
412,5.163,128
413,4.953,128
414,5.025,128
424,5.108,128
437,4.993,128
459,5.082,128
477,5.079,128
504,5.037,128
515,5.024,128
551,5.027,128
559,4.951,128
574,5.014,128
580,4.966,128
614,5.14,128
648,5.135,128
687,5.02,128
726,4.945,128
789,4.967,128
814,5.367,128
853,5.012,128
881,4.939,128
886,4.989,128
892,5.006,128
904,5.054,128
932,5.218,128
952,5.116,128
958,5.125,128
984,5.054,128
1002,4.885,128
1005,5.16,128
1064,5.343,128
1074,5.105,128
1076,5.058,128
1083,5.12,128
1121,5.09,128
1124,4.89,128
1229,4.917,128
1252,4.976,128
1261,5.242,128
1291,5.125,128
1293,5.509,128
1302,4.952,128
1327,5.108,128
1351,5.115,128
1358,4.884,128
1360,5.316,128
1369,5.05,128
1371,5.043,128
1374,4.999,128
1379,5.0,128
1383,5.102,128
1395,4.879,128
1411,4.998,128
1461,5.205,128
1483,4.888,128
1485,4.958,128
1500,5.028,128
1517,4.972,128
1533,5.134,128
1547,5.129,128
1584,5.082,128
1628,5.285,128
1646,4.974,128
1648,5.263,128
1651,4.888,128
1653,4.921,128
1663,5.134,128
1668,4.999,128
1684,4.945,128
1705,5.002,128
1745,5.086,128
1754,4.921,128
1783,4.88,128
1787,5.395,128
1810,5.044,128
1821,4.926,128
1827,5.002,128
1840,4.918,128
1858,5.059,128
1861,5.083,128
1897,4.944,128
1900,5.105,128
1901,5.064,128
1914,4.886,128
1922,4.971,128
1937,4.959,128
1944,4.884,128
1981,5.313,128
2006,4.951,128
2033,5.224,128
2036,5.151,128
2071,4.947,128
2102,5.148,128
2109,5.083,128
2130,4.954,128
2132,5.153,128
2174,4.891,128
2195,5.087,128
2217,5.106,128
2222,5.008,128
2224,5.284,128
2272,5.061,128
2288,5.0,128
2303,5.476,128
2307,4.885,128
2312,5.009,128
2320,5.233,128
2332,4.949,128
2432,4.879,128
2479,5.242,128
2494,5.122,128
2514,5.008,128
2522,5.134,128
2549,4.926,128
2550,4.972,128
2669,5.127,128
2675,4.974,128
2687,4.931,128
2691,5.083,128
2698,4.884,128
2709,5.51,128
2726,5.006,128
2731,5.016,128
2737,4.956,128
2773,4.978,128
2780,4.895,128
2797,5.092,128
2799,4.898,128
2809,5.087,128
2822,4.956,128
2829,5.401,128
2881,4.95,128
2894,4.96,128
2907,5.15,128
2908,4.957,128
2950,4.957,128
2967,4.933,128
2983,5.405,128
2986,4.969,128
3016,5.209,128
3050,4.973,128
3082,5.485,128
3085,4.928,128
3095,4.923,128
3098,5.116,128
3099,5.117,128
3117,5.108,128
3157,5.085,128
3170,4.915,128
3186,5.263,128
3220,5.006,128
3233,5.012,128
3248,5.006,128
3264,5.083,128
3297,5.111,128
3320,5.009,128
3327,4.99,128
3330,4.971,128
3331,5.007,128
3372,4.997,128
