id,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_summ,voice_note,Accuracy,Completeness,Organization,Synthesis,Overall
515,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
3082,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
1547,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
13,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
3085,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
2071,1,1,1,1,1,1,1,1,1,0,1,1.0,1.0,1.0,1.0,1.0
3095,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
3098,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
3099,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
551,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
1064,1,5,1,1,1,1,1,1,1,0,0,3.0,1.0,1.0,1.0,1.44
42,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
45,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
3117,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
559,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1584,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
1074,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1076,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
2102,1,1,1,1,1,1,1,1,1,0,1,1.0,1.0,1.0,1.0,1.0
1083,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
2109,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
574,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
64,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
580,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
2130,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
2132,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
3157,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1628,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1121,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
3170,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
1124,1,5,2,3,5,5,5,1,3,0,0,3.0,2.5,5.0,2.0,3.33
614,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
2669,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
110,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1646,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
1648,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
3186,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
