id,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_summ,voice_note,Accuracy,Completeness,Organization,Synthesis,Overall
515,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
3082,1,5,1,1,1,5,5,0,1,0,0,3.0,1.0,3.67,0.5,2.22
1547,1,5,1,3,4,4,5,1,1,0,0,3.0,2.0,4.33,1.0,2.78
13,1,1,1,1,1,1,5,0,1,0,0,1.0,1.0,2.33,0.5,1.33
3085,1,5,1,2,5,5,5,0,1,0,0,3.0,1.5,5.0,0.5,2.78
2071,1,5,1,2,3,5,5,0,1,1,1,3.0,1.5,4.33,0.5,2.56
3095,1,3,2,3,4,3,5,1,1,0,0,2.0,2.5,4.0,1.0,2.56
3098,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
3099,1,3,1,1,1,5,5,0,1,0,0,2.0,1.0,3.67,0.5,2.0
551,1,5,1,2,2,2,5,0,1,0,0,3.0,1.5,3.0,0.5,2.11
1064,1,5,1,2,4,5,5,0,1,0,0,3.0,1.5,4.67,0.5,2.67
42,1,5,1,2,3,5,5,0,3,0,0,3.0,1.5,4.33,1.5,2.78
45,1,5,1,2,2,5,5,0,3,0,0,3.0,1.5,4.0,1.5,2.67
3117,1,4,1,2,3,5,5,0,1,0,0,2.5,1.5,4.33,0.5,2.44
559,1,4,1,2,3,3,5,0,1,0,0,2.5,1.5,3.67,0.5,2.22
1584,1,5,1,2,2,4,4,0,3,0,0,3.0,1.5,3.33,1.5,2.44
1074,1,5,1,1,3,5,5,0,1,0,0,3.0,1.0,4.33,0.5,2.44
1076,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
2102,1,5,1,1,3,4,3,0,1,0,0,3.0,1.0,3.33,0.5,2.11
1083,1,5,1,2,2,5,5,0,1,0,0,3.0,1.5,4.0,0.5,2.44
2109,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
574,1,5,1,1,1,4,5,0,1,0,0,3.0,1.0,3.33,0.5,2.11
64,1,3,1,1,1,3,5,0,1,0,0,2.0,1.0,3.0,0.5,1.78
580,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
2130,1,5,1,2,5,5,5,1,1,0,0,3.0,1.5,5.0,1.0,2.89
2132,1,5,1,1,3,4,5,0,3,0,0,3.0,1.0,4.0,1.5,2.56
3157,1,5,1,2,5,5,5,0,1,0,0,3.0,1.5,5.0,0.5,2.78
1628,1,5,1,1,3,5,5,0,1,0,0,3.0,1.0,4.33,0.5,2.44
1121,1,4,1,2,3,3,5,0,1,0,0,2.5,1.5,3.67,0.5,2.22
3170,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
1124,1,1,1,2,2,3,3,0,1,0,0,1.0,1.5,2.67,0.5,1.56
614,1,3,1,2,3,3,5,0,1,0,0,2.0,1.5,3.67,0.5,2.11
2669,1,5,1,2,3,3,5,0,1,0,0,3.0,1.5,3.67,0.5,2.33
110,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
1646,1,5,1,1,3,5,5,0,1,0,0,3.0,1.0,4.33,0.5,2.44
1648,1,5,1,2,2,3,5,0,1,0,0,3.0,1.5,3.33,0.5,2.22
3186,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
1651,1,5,1,2,2,3,5,0,1,0,0,3.0,1.5,3.33,0.5,2.22
2675,1,5,1,2,3,5,4,0,1,0,0,3.0,1.5,4.0,0.5,2.44
1653,1,5,1,2,3,3,4,0,1,0,0,3.0,1.5,3.33,0.5,2.22
2174,1,3,1,3,3,3,4,0,1,0,0,2.0,2.0,3.33,0.5,2.11
1663,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
2687,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
2691,1,4,1,2,5,5,5,0,1,0,0,2.5,1.5,5.0,0.5,2.67
1668,1,4,1,2,3,3,5,0,1,0,0,2.5,1.5,3.67,0.5,2.22
648,1,5,1,2,3,4,5,0,3,0,0,3.0,1.5,4.0,1.5,2.67
2698,1,3,1,2,3,4,3,0,1,0,0,2.0,1.5,3.33,0.5,2.0
141,1,5,1,2,2,4,4,0,1,0,0,3.0,1.5,3.33,0.5,2.22
2195,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
1684,1,5,1,2,1,3,5,0,1,0,0,3.0,1.5,3.0,0.5,2.11
2709,1,5,1,1,4,3,5,0,1,0,0,3.0,1.0,4.0,0.5,2.33
3220,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
152,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
3233,1,5,1,1,3,5,5,0,1,0,0,3.0,1.0,4.33,0.5,2.44
166,1,4,1,2,3,3,5,0,1,0,0,2.5,1.5,3.67,0.5,2.22
2726,1,5,1,1,3,5,3,0,1,0,0,3.0,1.0,3.67,0.5,2.22
1705,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
2217,1,5,1,2,3,4,5,1,1,0,0,3.0,1.5,4.0,1.0,2.56
2731,1,5,1,2,2,3,5,0,1,0,0,3.0,1.5,3.33,0.5,2.22
2222,1,5,1,2,4,5,5,0,1,0,0,3.0,1.5,4.67,0.5,2.67
687,1,5,1,1,3,5,5,0,1,0,0,3.0,1.0,4.33,0.5,2.44
2224,1,5,1,2,4,5,5,0,1,0,0,3.0,1.5,4.67,0.5,2.67
2737,1,5,1,2,3,5,5,0,3,0,0,3.0,1.5,4.33,1.5,2.78
3248,1,5,1,3,5,5,5,0,1,0,0,3.0,2.0,5.0,0.5,2.89
3264,1,5,1,2,5,5,5,1,1,0,0,3.0,1.5,5.0,1.0,2.89
1229,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
1745,1,5,1,2,5,5,5,0,1,0,0,3.0,1.5,5.0,0.5,2.78
2773,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
726,1,5,1,2,4,5,5,0,1,0,0,3.0,1.5,4.67,0.5,2.67
1754,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
2780,1,5,2,3,3,5,5,0,1,0,0,3.0,2.5,4.33,0.5,2.78
2272,1,5,1,1,3,5,5,0,1,0,0,3.0,1.0,4.33,0.5,2.44
3297,1,5,1,2,2,5,5,0,1,0,0,3.0,1.5,4.0,0.5,2.44
1252,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
1261,1,5,1,2,5,5,5,0,1,0,0,3.0,1.5,5.0,0.5,2.78
2797,1,5,1,1,3,3,5,0,1,0,0,3.0,1.0,3.67,0.5,2.22
2799,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
