id,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_summ,voice_note,Accuracy,Completeness,Organization,Synthesis,Overall
515,1,5,1,2,5,5,5,0,1,0,0,3.0,1.5,5.0,0.5,2.78
3082,1,1,1,1,2,2,2,1,1,0,0,1.0,1.0,2.0,1.0,1.33
1547,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
13,1,1,1,1,1,1,3,1,1,0,0,1.0,1.0,1.67,1.0,1.22
3085,1,1,1,2,2,1,3,1,1,0,0,1.0,1.5,2.0,1.0,1.44
2071,1,5,5,5,5,5,5,1,3,1,1,3.0,5.0,5.0,2.0,3.89
3095,1,4,1,3,3,4,5,0,1,0,0,2.5,2.0,4.0,0.5,2.44
3098,1,2,1,2,3,3,4,1,3,0,0,1.5,1.5,3.33,2.0,2.22
3099,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
551,1,3,1,2,3,2,3,1,1,0,0,2.0,1.5,2.67,1.0,1.89
1064,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
42,1,1,1,1,2,1,3,1,1,0,0,1.0,1.0,2.0,1.0,1.33
45,1,1,1,2,2,2,3,1,1,0,0,1.0,1.5,2.33,1.0,1.56
3117,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
559,1,2,1,3,3,5,5,1,3,0,0,1.5,2.0,4.33,2.0,2.67
1584,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
1074,1,1,1,2,2,2,3,1,1,0,0,1.0,1.5,2.33,1.0,1.56
1076,1,5,1,3,3,3,3,1,3,0,0,3.0,2.0,3.0,2.0,2.56
2102,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
1083,1,4,1,3,4,2,5,1,4,1,1,2.5,2.0,3.67,2.5,2.78
2109,1,4,1,2,3,4,4,1,3,0,0,2.5,1.5,3.67,2.0,2.56
574,1,4,1,2,3,2,4,1,1,0,0,2.5,1.5,3.0,1.0,2.11
64,1,5,1,3,3,4,4,0,1,0,0,3.0,2.0,3.67,0.5,2.44
580,1,1,1,2,3,1,2,1,1,0,0,1.0,1.5,2.0,1.0,1.44
2130,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
2132,1,1,1,1,1,1,3,1,3,0,0,1.0,1.0,1.67,2.0,1.44
3157,1,1,1,1,2,2,3,0,1,0,0,1.0,1.0,2.33,0.5,1.33
1628,1,3,1,2,2,2,5,1,3,0,0,2.0,1.5,3.0,2.0,2.22
1121,1,3,1,2,3,2,5,0,1,0,0,2.0,1.5,3.33,0.5,2.0
3170,1,5,1,2,3,3,4,1,3,0,0,3.0,1.5,3.33,2.0,2.56
1124,1,1,1,2,2,2,3,1,2,0,0,1.0,1.5,2.33,1.5,1.67
614,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
2669,1,5,1,2,2,2,3,0,1,0,0,3.0,1.5,2.33,0.5,1.89
110,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
1646,1,2,1,2,3,2,3,1,3,0,0,1.5,1.5,2.67,2.0,2.0
1648,1,4,1,3,3,5,5,1,4,0,1,2.5,2.0,4.33,2.5,3.0
3186,1,2,1,2,2,2,2,1,1,0,0,1.5,1.5,2.0,1.0,1.56
1651,1,1,1,2,3,3,3,1,3,0,0,1.0,1.5,3.0,2.0,2.0
2675,1,2,1,2,3,2,3,0,1,0,0,1.5,1.5,2.67,0.5,1.67
1653,1,2,1,3,3,3,4,1,1,0,0,1.5,2.0,3.33,1.0,2.11
2174,1,3,1,2,3,2,3,0,1,0,0,2.0,1.5,2.67,0.5,1.78
1663,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
2687,1,5,1,2,1,2,1,1,1,0,0,3.0,1.5,1.33,1.0,1.67
2691,1,2,1,2,2,2,3,0,3,0,0,1.5,1.5,2.33,1.5,1.78
1668,1,3,1,2,3,3,4,0,1,0,0,2.0,1.5,3.33,0.5,2.0
648,1,1,1,2,1,1,3,1,1,0,0,1.0,1.5,1.67,1.0,1.33
2698,1,5,1,3,5,5,5,1,4,0,0,3.0,2.0,5.0,2.5,3.33
141,1,3,1,2,3,2,3,1,3,0,0,2.0,1.5,2.67,2.0,2.11
2195,1,3,1,2,3,2,3,1,3,0,0,2.0,1.5,2.67,2.0,2.11
1684,1,5,1,2,3,2,5,1,3,0,0,3.0,1.5,3.33,2.0,2.56
2709,1,2,1,3,2,1,3,1,1,0,0,1.5,2.0,2.0,1.0,1.67
3220,1,1,1,2,3,2,3,1,3,0,0,1.0,1.5,2.67,2.0,1.89
152,1,2,1,2,3,5,5,1,3,0,0,1.5,1.5,4.33,2.0,2.56
3233,1,1,1,2,1,1,3,1,1,0,0,1.0,1.5,1.67,1.0,1.33
166,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
2726,1,5,1,2,3,5,3,1,1,0,0,3.0,1.5,3.67,1.0,2.44
1705,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
2217,1,1,1,1,1,1,3,1,1,0,0,1.0,1.0,1.67,1.0,1.22
2731,1,3,1,2,2,2,2,0,1,0,0,2.0,1.5,2.0,0.5,1.56
2222,1,5,1,2,3,2,3,1,1,0,0,3.0,1.5,2.67,1.0,2.11
687,1,5,1,2,5,5,5,0,1,0,0,3.0,1.5,5.0,0.5,2.78
2224,1,1,1,2,2,1,1,1,1,0,0,1.0,1.5,1.33,1.0,1.22
2737,1,4,1,5,5,2,3,1,3,0,0,2.5,3.0,3.33,2.0,2.78
3248,1,3,1,2,3,3,5,0,1,0,0,2.0,1.5,3.67,0.5,2.11
3264,1,5,1,2,3,3,4,1,3,0,0,3.0,1.5,3.33,2.0,2.56
1229,1,2,1,2,3,3,3,1,3,0,0,1.5,1.5,3.0,2.0,2.11
1745,1,2,1,2,2,2,2,1,3,0,0,1.5,1.5,2.0,2.0,1.78
2773,1,3,1,1,2,2,4,1,3,0,0,2.0,1.0,2.67,2.0,2.0
726,1,3,1,3,4,3,4,1,3,0,0,2.0,2.0,3.67,2.0,2.56
1754,1,5,1,2,3,2,5,1,3,0,0,3.0,1.5,3.33,2.0,2.56
2780,1,2,1,2,3,5,5,1,3,0,0,1.5,1.5,4.33,2.0,2.56
2272,1,5,1,3,4,5,5,1,4,0,0,3.0,2.0,4.67,2.5,3.22
3297,1,2,1,2,2,2,1,1,2,0,0,1.5,1.5,1.67,1.5,1.56
1252,1,5,1,2,3,2,5,0,1,0,0,3.0,1.5,3.33,0.5,2.22
1261,1,1,1,1,2,1,1,1,1,0,0,1.0,1.0,1.33,1.0,1.11
2797,1,2,1,3,3,2,3,1,3,0,0,1.5,2.0,2.67,2.0,2.11
2799,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
2288,1,5,1,2,2,3,2,0,1,0,0,3.0,1.5,2.33,0.5,1.89
245,1,5,1,2,3,5,3,0,1,0,0,3.0,1.5,3.67,0.5,2.33
1783,1,3,1,2,3,2,3,0,1,0,0,2.0,1.5,2.67,0.5,1.78
3320,1,5,1,2,3,4,3,1,3,0,0,3.0,1.5,3.33,2.0,2.56
2809,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1787,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
2303,1,2,1,3,2,2,3,1,3,0,0,1.5,2.0,2.33,2.0,2.0
256,1,2,2,3,4,3,5,1,4,0,0,1.5,2.5,4.0,2.5,2.78
3327,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
3330,1,5,1,3,5,5,5,0,1,0,0,3.0,2.0,5.0,0.5,2.89
2307,1,5,1,3,5,4,3,1,3,0,0,3.0,2.0,4.0,2.0,2.89
3331,1,1,1,1,1,1,1,1,1,0,1,1.0,1.0,1.0,1.0,1.0
2822,1,1,1,2,2,1,2,1,3,0,0,1.0,1.5,1.67,2.0,1.56
2312,1,2,1,3,3,3,3,1,3,0,0,1.5,2.0,3.0,2.0,2.22
1291,1,2,1,3,2,2,3,1,2,0,0,1.5,2.0,2.33,1.5,1.89
1293,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
2829,1,2,1,2,2,1,3,1,1,0,0,1.5,1.5,2.0,1.0,1.56
2320,1,2,2,3,5,5,5,1,1,0,0,1.5,2.5,5.0,1.0,2.78
274,1,3,1,2,4,2,4,1,3,0,0,2.0,1.5,3.33,2.0,2.33
1810,1,5,1,2,5,4,5,1,1,0,0,3.0,1.5,4.67,1.0,2.78
789,1,1,1,1,2,2,3,1,1,0,0,1.0,1.0,2.33,1.0,1.44
1302,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
2332,1,5,1,2,3,3,4,1,3,0,0,3.0,1.5,3.33,2.0,2.56
1821,1,1,1,1,2,1,2,0,1,0,0,1.0,1.0,1.67,0.5,1.11
1827,1,5,1,2,3,3,5,1,3,0,0,3.0,1.5,3.67,2.0,2.67
3372,1,2,1,2,2,1,2,1,2,0,0,1.5,1.5,1.67,1.5,1.56
814,1,2,1,1,1,2,4,1,3,0,0,1.5,1.0,2.33,2.0,1.78
1327,1,3,1,3,3,2,4,1,3,0,0,2.0,2.0,3.0,2.0,2.33
1840,1,2,1,2,2,2,4,1,1,0,0,1.5,1.5,2.67,1.0,1.78
308,1,1,1,2,4,2,4,1,3,0,0,1.0,1.5,3.33,2.0,2.11
2881,1,2,1,3,4,5,5,1,3,0,0,1.5,2.0,4.67,2.0,2.78
1858,1,5,1,2,3,3,2,1,3,1,1,3.0,1.5,2.67,2.0,2.33
