id,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_summ,voice_note,Accuracy,Completeness,Organization,Synthesis,Overall
515,1,5,3,3,4,5,5,1,3,0,0,3.0,3.0,4.67,2.0,3.33
3082,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
1547,1,3,2,2,4,4,3,1,1,0,0,2.0,2.0,3.67,1.0,2.33
13,1,1,1,1,1,5,5,1,1,0,0,1.0,1.0,3.67,1.0,1.89
3085,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
2071,1,5,3,5,5,4,5,0,1,1,1,3.0,4.0,4.67,0.5,3.22
3095,1,1,1,1,2,5,5,1,1,0,0,1.0,1.0,4.0,1.0,2.0
3098,1,5,1,2,3,5,4,0,1,0,0,3.0,1.5,4.0,0.5,2.44
3099,1,5,1,1,3,5,5,0,1,0,0,3.0,1.0,4.33,0.5,2.44
551,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
1064,1,3,1,3,4,5,5,1,3,0,0,2.0,2.0,4.67,2.0,2.89
42,1,5,1,1,3,5,5,0,1,0,0,3.0,1.0,4.33,0.5,2.44
45,1,5,1,3,4,5,5,1,1,0,0,3.0,2.0,4.67,1.0,2.89
3117,1,5,1,2,5,5,5,0,1,0,0,3.0,1.5,5.0,0.5,2.78
559,1,1,1,1,1,2,3,0,1,0,0,1.0,1.0,2.0,0.5,1.22
1584,1,5,1,2,3,5,4,1,3,0,0,3.0,1.5,4.0,2.0,2.78
1074,1,5,1,2,3,4,2,0,1,0,0,3.0,1.5,3.0,0.5,2.11
1076,1,5,1,3,5,5,5,1,3,0,0,3.0,2.0,5.0,2.0,3.22
2102,1,5,2,3,5,5,5,1,1,0,0,3.0,2.5,5.0,1.0,3.11
1083,1,5,1,2,4,4,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
2109,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
