id,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_summ,voice_note,Accuracy,Completeness,Organization,Synthesis,Overall
515,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
3082,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1547,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
13,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
3085,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
2071,1,1,1,1,1,1,1,0,1,0,1,1.0,1.0,1.0,0.5,0.89
3095,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
3098,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
3099,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
551,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1064,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
42,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
45,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
3117,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
559,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1584,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1074,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1076,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
2102,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1083,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
2109,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
574,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
64,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
580,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
2130,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
2132,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
3157,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1628,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1121,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
3170,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1124,1,3,1,2,3,5,5,0,1,0,0,2.0,1.5,4.33,0.5,2.33
614,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
2669,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
110,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
