id,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_summ,voice_note,Accuracy,Completeness,Organization,Synthesis,Overall
515,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
3082,1,5,1,1,3,5,1,1,1,0,0,3.0,1.0,3.0,1.0,2.11
1547,1,5,1,2,3,4,4,1,4,0,0,3.0,1.5,3.67,2.5,2.78
13,1,1,1,2,2,2,4,1,3,0,0,1.0,1.5,2.67,2.0,1.89
3085,1,5,1,2,3,3,5,0,1,0,0,3.0,1.5,3.67,0.5,2.33
2071,1,5,1,2,3,5,4,0,1,1,1,3.0,1.5,4.0,0.5,2.44
3095,1,2,1,3,5,2,5,1,3,0,0,1.5,2.0,4.0,2.0,2.56
3098,1,5,1,2,5,5,5,1,3,0,0,3.0,1.5,5.0,2.0,3.11
3099,1,2,1,1,2,2,5,1,1,0,0,1.5,1.0,3.0,1.0,1.78
551,1,5,1,2,3,2,4,1,3,0,0,3.0,1.5,3.0,2.0,2.44
1064,1,5,1,2,3,3,5,1,3,0,0,3.0,1.5,3.67,2.0,2.67
42,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
45,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
3117,1,2,1,2,2,3,4,1,3,0,0,1.5,1.5,3.0,2.0,2.11
559,1,3,1,2,3,2,4,0,1,0,0,2.0,1.5,3.0,0.5,1.89
1584,1,5,1,2,3,2,4,1,3,0,0,3.0,1.5,3.0,2.0,2.44
1074,1,5,1,3,3,3,3,0,1,0,0,3.0,2.0,3.0,0.5,2.22
1076,1,5,1,2,3,3,3,0,1,0,0,3.0,1.5,3.0,0.5,2.11
2102,1,5,1,2,3,3,5,1,3,0,0,3.0,1.5,3.67,2.0,2.67
1083,1,5,1,2,3,3,4,0,1,1,1,3.0,1.5,3.33,0.5,2.22
2109,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
574,1,5,1,2,3,3,4,0,1,0,0,3.0,1.5,3.33,0.5,2.22
64,1,2,1,2,3,3,4,0,1,0,0,1.5,1.5,3.33,0.5,1.89
580,1,2,1,2,3,2,3,1,1,0,0,1.5,1.5,2.67,1.0,1.78
2130,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
2132,1,4,1,2,3,3,3,1,3,0,0,2.5,1.5,3.0,2.0,2.33
3157,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
1628,1,5,1,1,3,3,3,0,1,0,0,3.0,1.0,3.0,0.5,2.0
1121,1,2,1,1,1,2,3,0,1,0,0,1.5,1.0,2.0,0.5,1.33
3170,1,5,1,3,3,3,5,1,3,0,0,3.0,2.0,3.67,2.0,2.78
1124,1,1,1,2,2,2,2,1,1,0,0,1.0,1.5,2.0,1.0,1.44
