id,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_summ,voice_note,Accuracy,Completeness,Organization,Synthesis,Overall
13,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
42,1,2,1,2,3,2,3,1,1,0,0,1.5,1.5,2.67,1.0,1.78
45,1,1,1,2,5,2,3,1,3,0,0,1.0,1.5,3.33,2.0,2.11
64,1,4,1,2,3,2,4,1,3,0,0,2.5,1.5,3.0,2.0,2.33
110,1,5,1,2,3,3,4,0,1,0,0,3.0,1.5,3.33,0.5,2.22
141,1,2,3,3,5,4,3,1,3,0,0,1.5,3.0,4.0,2.0,2.78
152,1,3,1,2,3,2,3,1,1,0,0,2.0,1.5,2.67,1.0,1.89
166,1,2,1,2,3,2,3,0,1,0,0,1.5,1.5,2.67,0.5,1.67
245,1,5,1,2,3,2,4,1,3,0,0,3.0,1.5,3.0,2.0,2.44
256,1,1,1,1,2,2,3,1,1,0,0,1.0,1.0,2.33,1.0,1.44
274,1,2,2,3,4,5,5,1,3,0,0,1.5,2.5,4.67,2.0,2.89
308,1,2,1,2,3,2,4,1,1,0,0,1.5,1.5,3.0,1.0,1.89
346,1,5,1,2,3,2,2,1,3,0,0,3.0,1.5,2.33,2.0,2.22
388,1,1,1,1,3,1,3,1,1,0,0,1.0,1.0,2.33,1.0,1.44
392,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
412,1,4,1,2,2,2,3,1,3,0,0,2.5,1.5,2.33,2.0,2.11
413,1,1,1,2,2,1,1,1,3,0,0,1.0,1.5,1.33,2.0,1.44
414,1,1,1,2,3,2,3,1,1,0,0,1.0,1.5,2.67,1.0,1.67
424,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
437,1,2,1,2,3,2,3,1,3,0,0,1.5,1.5,2.67,2.0,2.0
459,1,5,1,3,5,5,5,1,3,0,0,3.0,2.0,5.0,2.0,3.22
477,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
504,1,1,1,2,2,1,3,1,1,0,0,1.0,1.5,2.0,1.0,1.44
515,1,2,1,2,3,3,3,1,3,0,0,1.5,1.5,3.0,2.0,2.11
551,1,1,1,2,2,1,3,1,1,0,0,1.0,1.5,2.0,1.0,1.44
559,1,4,1,2,2,2,3,0,1,0,0,2.5,1.5,2.33,0.5,1.78
574,1,2,1,2,3,2,2,0,1,0,0,1.5,1.5,2.33,0.5,1.56
580,1,5,1,2,3,3,5,1,3,0,0,3.0,1.5,3.67,2.0,2.67
614,1,3,1,2,2,2,2,1,3,0,0,2.0,1.5,2.0,2.0,1.89
648,1,4,1,2,3,3,5,0,1,0,0,2.5,1.5,3.67,0.5,2.22
687,1,5,1,2,3,3,4,0,1,0,0,3.0,1.5,3.33,0.5,2.22
726,1,2,1,3,3,4,4,1,3,0,0,1.5,2.0,3.67,2.0,2.44
789,1,2,1,3,4,2,3,1,3,0,0,1.5,2.0,3.0,2.0,2.22
814,1,2,1,2,3,2,4,1,3,0,0,1.5,1.5,3.0,2.0,2.11
853,1,5,1,2,3,4,5,0,1,0,0,3.0,1.5,4.0,0.5,2.44
881,1,2,1,3,3,2,3,1,3,0,0,1.5,2.0,2.67,2.0,2.11
886,1,3,1,2,3,4,5,1,3,0,0,2.0,1.5,4.0,2.0,2.56
892,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
904,1,5,1,2,3,3,5,0,1,0,0,3.0,1.5,3.67,0.5,2.33
932,1,5,1,2,3,4,5,0,1,0,0,3.0,1.5,4.0,0.5,2.44
952,1,5,1,2,3,4,5,1,3,0,0,3.0,1.5,4.0,2.0,2.78
958,1,1,1,3,2,1,3,1,3,0,0,1.0,2.0,2.0,2.0,1.78
984,1,3,1,2,1,1,2,1,1,0,0,2.0,1.5,1.33,1.0,1.44
1002,1,5,1,2,1,3,1,1,1,0,0,3.0,1.5,1.67,1.0,1.78
1005,1,3,1,2,4,3,3,1,3,0,0,2.0,1.5,3.33,2.0,2.33
1064,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
1074,1,2,1,2,1,2,3,1,1,0,0,1.5,1.5,2.0,1.0,1.56
1076,1,5,1,2,5,5,5,0,1,0,0,3.0,1.5,5.0,0.5,2.78
1083,1,1,1,2,2,2,3,1,2,1,1,1.0,1.5,2.33,1.5,1.67
1121,1,5,1,2,4,5,3,1,3,0,0,3.0,1.5,4.0,2.0,2.78
1124,1,1,1,2,1,2,2,1,1,0,0,1.0,1.5,1.67,1.0,1.33
1229,1,2,1,2,3,2,3,1,3,0,0,1.5,1.5,2.67,2.0,2.0
1252,1,5,1,2,3,2,5,0,1,0,0,3.0,1.5,3.33,0.5,2.22
1261,1,2,1,2,3,2,3,1,3,0,0,1.5,1.5,2.67,2.0,2.0
1291,1,1,1,1,2,1,3,1,1,0,0,1.0,1.0,2.0,1.0,1.33
1293,1,1,1,2,2,1,3,1,1,0,0,1.0,1.5,2.0,1.0,1.44
1302,1,5,1,2,3,3,5,1,3,0,0,3.0,1.5,3.67,2.0,2.67
1327,1,5,1,2,3,5,5,1,1,0,0,3.0,1.5,4.33,1.0,2.67
1351,1,5,1,2,4,3,3,1,3,0,0,3.0,1.5,3.33,2.0,2.56
1358,1,4,1,2,3,2,3,0,1,0,0,2.5,1.5,2.67,0.5,1.89
1360,1,5,1,2,3,5,5,1,1,0,0,3.0,1.5,4.33,1.0,2.67
1369,1,1,1,2,2,2,2,1,2,0,0,1.0,1.5,2.0,1.5,1.56
1371,1,4,1,2,3,2,4,1,3,0,0,2.5,1.5,3.0,2.0,2.33
1374,1,5,1,2,3,3,4,1,3,0,0,3.0,1.5,3.33,2.0,2.56
1379,1,5,1,1,3,3,5,1,1,0,0,3.0,1.0,3.67,1.0,2.33
1383,1,2,1,2,2,2,3,1,3,0,0,1.5,1.5,2.33,2.0,1.89
1395,1,3,2,4,5,4,5,1,4,0,0,2.0,3.0,4.67,2.5,3.22
1411,1,3,1,2,3,2,3,0,1,0,0,2.0,1.5,2.67,0.5,1.78
1461,1,5,1,1,2,3,5,0,1,0,0,3.0,1.0,3.33,0.5,2.11
1483,1,1,1,2,2,2,4,1,1,0,0,1.0,1.5,2.67,1.0,1.67
1485,1,4,1,2,3,3,4,1,3,0,0,2.5,1.5,3.33,2.0,2.44
1500,1,1,1,2,1,2,1,1,1,0,0,1.0,1.5,1.33,1.0,1.22
1517,1,2,1,2,3,2,3,1,1,0,0,1.5,1.5,2.67,1.0,1.78
1533,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0
1547,1,1,1,1,3,2,3,1,1,0,0,1.0,1.0,2.67,1.0,1.56
1584,1,1,1,1,1,1,2,1,1,0,0,1.0,1.0,1.33,1.0,1.11
1628,1,2,1,2,3,3,4,0,1,0,0,1.5,1.5,3.33,0.5,1.89
1646,1,2,1,2,3,2,4,1,3,0,0,1.5,1.5,3.0,2.0,2.11
1648,1,5,1,2,1,4,5,1,4,0,1,3.0,1.5,3.33,2.5,2.67
1651,1,2,1,2,3,2,4,0,1,0,0,1.5,1.5,3.0,0.5,1.78
1653,1,2,1,2,2,2,3,1,1,0,0,1.5,1.5,2.33,1.0,1.67
1663,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
1668,1,5,1,2,3,3,5,1,3,0,0,3.0,1.5,3.67,2.0,2.67
1684,1,3,1,2,4,4,3,0,1,0,0,2.0,1.5,3.67,0.5,2.11
1705,1,2,1,2,3,2,4,1,1,0,0,1.5,1.5,3.0,1.0,1.89
1745,1,1,1,2,2,1,2,1,1,0,0,1.0,1.5,1.67,1.0,1.33
1754,1,4,1,1,2,4,5,1,1,0,0,2.5,1.0,3.67,1.0,2.22
1783,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
1787,1,1,1,2,2,1,1,1,1,0,0,1.0,1.5,1.33,1.0,1.22
1810,1,5,1,2,3,2,5,1,3,0,0,3.0,1.5,3.33,2.0,2.56
1821,1,2,1,2,2,2,3,1,1,0,0,1.5,1.5,2.33,1.0,1.67
1827,1,2,1,1,1,2,2,0,1,0,0,1.5,1.0,1.67,0.5,1.22
1840,1,3,1,2,3,3,5,0,1,0,0,2.0,1.5,3.67,0.5,2.11
1858,1,5,1,2,2,2,3,1,1,0,0,3.0,1.5,2.33,1.0,2.0
1861,1,3,1,2,4,3,5,1,3,0,0,2.0,1.5,4.0,2.0,2.56
1897,1,5,1,2,3,2,5,0,1,0,0,3.0,1.5,3.33,0.5,2.22
1900,1,2,1,2,2,2,3,0,1,0,0,1.5,1.5,2.33,0.5,1.56
1901,1,3,1,2,3,2,3,1,1,0,0,2.0,1.5,2.67,1.0,1.89
1914,1,1,1,2,2,2,2,1,1,0,0,1.0,1.5,2.0,1.0,1.44
1922,1,2,1,3,3,2,3,1,3,0,0,1.5,2.0,2.67,2.0,2.11
1937,1,4,1,2,3,5,5,1,3,0,0,2.5,1.5,4.33,2.0,2.78
1944,1,5,1,2,5,5,5,0,1,0,0,3.0,1.5,5.0,0.5,2.78
1981,1,5,1,2,3,5,4,1,3,0,0,3.0,1.5,4.0,2.0,2.78
2006,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
2033,1,1,1,2,3,1,2,1,1,0,0,1.0,1.5,2.0,1.0,1.44
2036,1,5,1,2,3,5,4,1,1,0,0,3.0,1.5,4.0,1.0,2.56
2071,1,5,4,5,5,5,5,1,3,1,1,3.0,4.5,5.0,2.0,3.78
