id,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_summ,voice_note,Accuracy,Completeness,Organization,Synthesis,Overall
13,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
42,1,3,1,2,5,4,4,0,1,0,0,2.0,1.5,4.33,0.5,2.33
45,1,5,1,3,4,4,3,0,3,0,0,3.0,2.0,3.67,1.5,2.67
64,1,5,1,3,5,5,5,1,1,0,0,3.0,2.0,5.0,1.0,3.0
110,1,5,1,2,5,5,5,0,1,0,0,3.0,1.5,5.0,0.5,2.78
141,1,3,3,5,5,5,5,1,1,0,0,2.0,4.0,5.0,1.0,3.22
152,1,3,1,2,2,3,4,0,3,0,0,2.0,1.5,3.0,1.5,2.11
166,1,5,1,2,2,2,4,0,3,0,0,3.0,1.5,2.67,1.5,2.22
245,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
256,1,3,1,2,2,4,5,1,1,0,0,2.0,1.5,3.67,1.0,2.22
274,1,5,2,4,5,5,5,1,1,0,0,3.0,3.0,5.0,1.0,3.22
308,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
346,1,5,1,2,2,2,2,0,1,0,0,3.0,1.5,2.0,0.5,1.78
388,1,2,1,1,2,2,3,0,1,0,0,1.5,1.0,2.33,0.5,1.44
392,1,3,1,2,2,3,3,1,1,0,0,2.0,1.5,2.67,1.0,1.89
412,1,3,1,2,2,3,4,1,1,0,0,2.0,1.5,3.0,1.0,2.0
413,1,3,2,3,2,2,2,0,1,0,0,2.0,2.5,2.0,0.5,1.78
414,1,3,1,2,2,3,5,0,1,0,0,2.0,1.5,3.33,0.5,2.0
424,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
437,1,5,1,2,3,4,5,0,1,0,0,3.0,1.5,4.0,0.5,2.44
459,1,5,2,3,5,5,5,1,3,0,0,3.0,2.5,5.0,2.0,3.33
477,1,5,1,2,1,2,5,0,1,0,0,3.0,1.5,2.67,0.5,2.0
504,1,3,1,2,3,3,5,1,1,0,0,2.0,1.5,3.67,1.0,2.22
515,1,3,1,2,3,5,5,0,1,0,0,2.0,1.5,4.33,0.5,2.33
551,1,3,1,2,2,2,5,1,1,0,0,2.0,1.5,3.0,1.0,2.0
559,1,5,1,1,3,5,5,0,1,0,0,3.0,1.0,4.33,0.5,2.44
574,1,1,1,1,3,4,5,0,1,0,0,1.0,1.0,4.0,0.5,1.89
580,1,4,1,3,2,3,4,0,1,0,0,2.5,2.0,3.0,0.5,2.11
614,1,5,1,2,3,3,4,0,1,0,0,3.0,1.5,3.33,0.5,2.22
648,1,5,1,2,3,4,5,1,1,0,0,3.0,1.5,4.0,1.0,2.56
687,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
726,1,5,1,2,5,5,5,0,3,0,0,3.0,1.5,5.0,1.5,3.0
789,1,3,1,3,5,2,5,1,1,0,0,2.0,2.0,4.0,1.0,2.44
814,1,3,1,2,3,3,5,0,1,0,0,2.0,1.5,3.67,0.5,2.11
853,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
881,1,3,2,3,3,3,5,1,1,0,0,2.0,2.5,3.67,1.0,2.44
886,1,5,1,2,4,5,5,0,1,0,0,3.0,1.5,4.67,0.5,2.67
892,1,3,1,2,2,3,4,0,1,0,0,2.0,1.5,3.0,0.5,1.89
904,1,5,1,2,3,5,2,0,1,0,0,3.0,1.5,3.33,0.5,2.22
932,1,5,1,2,3,3,4,0,1,0,0,3.0,1.5,3.33,0.5,2.22
