id,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_summ,voice_note,Accuracy,Completeness,Organization,Synthesis,Overall
515,1,2,1,2,3,4,4,1,3,0,0,1.5,1.5,3.67,2.0,2.33
3082,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
1547,1,1,1,2,3,2,3,1,1,0,0,1.0,1.5,2.67,1.0,1.67
13,1,1,1,2,2,5,5,1,1,0,0,1.0,1.5,4.0,1.0,2.11
3085,1,2,1,2,3,3,4,0,3,0,0,1.5,1.5,3.33,1.5,2.11
2071,1,3,1,2,4,4,5,1,3,1,1,2.0,1.5,4.33,2.0,2.67
3095,1,1,1,1,1,3,3,1,1,0,0,1.0,1.0,2.33,1.0,1.44
3098,1,4,1,2,3,5,5,0,1,0,0,2.5,1.5,4.33,0.5,2.44
3099,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
551,1,5,1,3,3,2,5,1,1,0,0,3.0,2.0,3.33,1.0,2.44
1064,1,4,1,2,2,5,5,1,3,0,0,2.5,1.5,4.0,2.0,2.67
42,1,5,1,2,3,3,5,1,3,0,0,3.0,1.5,3.67,2.0,2.67
45,1,5,3,5,5,5,5,1,5,0,0,3.0,4.0,5.0,3.0,3.89
3117,1,3,1,2,5,4,5,1,3,0,0,2.0,1.5,4.67,2.0,2.78
559,1,1,1,1,1,5,5,1,1,0,0,1.0,1.0,3.67,1.0,1.89
1584,1,5,1,2,3,4,4,1,3,0,0,3.0,1.5,3.67,2.0,2.67
1074,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
1076,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
2102,1,2,1,2,4,5,3,1,1,0,1,1.5,1.5,4.0,1.0,2.22
1083,1,5,1,2,3,5,5,1,1,0,1,3.0,1.5,4.33,1.0,2.67
2109,1,5,1,2,5,5,5,1,3,0,0,3.0,1.5,5.0,2.0,3.11
574,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
64,1,5,1,3,5,5,5,1,3,0,0,3.0,2.0,5.0,2.0,3.22
580,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
2130,1,5,1,3,3,4,5,1,4,0,0,3.0,2.0,4.0,2.5,3.0
2132,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
3157,1,2,1,2,4,2,4,1,3,0,0,1.5,1.5,3.33,2.0,2.22
1628,1,5,1,2,3,2,5,1,3,0,0,3.0,1.5,3.33,2.0,2.56
1121,1,5,1,2,3,3,4,1,4,0,0,3.0,1.5,3.33,2.5,2.67
3170,1,2,1,2,3,2,5,1,3,0,0,1.5,1.5,3.33,2.0,2.22
1124,1,1,1,2,3,3,4,0,1,0,0,1.0,1.5,3.33,0.5,1.78
614,1,5,1,3,3,2,4,1,3,0,0,3.0,2.0,3.0,2.0,2.56
2669,1,5,1,1,3,5,5,0,1,0,0,3.0,1.0,4.33,0.5,2.44
110,1,5,1,2,3,3,5,0,1,0,0,3.0,1.5,3.67,0.5,2.33
1646,1,5,1,2,3,3,5,0,1,0,0,3.0,1.5,3.67,0.5,2.33
1648,1,5,1,2,3,5,4,0,1,1,1,3.0,1.5,4.0,0.5,2.44
3186,1,5,1,2,2,2,1,1,3,0,0,3.0,1.5,1.67,2.0,2.0
1651,1,5,1,3,3,2,4,0,1,0,0,3.0,2.0,3.0,0.5,2.22
2675,1,2,1,1,1,1,1,0,1,0,0,1.5,1.0,1.0,0.5,1.0
1653,1,1,1,1,4,5,2,1,1,0,0,1.0,1.0,3.67,1.0,1.89
2174,1,3,1,2,3,3,4,1,3,0,0,2.0,1.5,3.33,2.0,2.33
1663,1,5,1,2,3,5,5,1,1,0,0,3.0,1.5,4.33,1.0,2.67
2687,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
2691,1,2,1,2,3,3,4,1,1,0,0,1.5,1.5,3.33,1.0,2.0
1668,1,5,1,2,3,2,4,1,3,0,0,3.0,1.5,3.0,2.0,2.44
648,1,5,1,2,4,5,5,1,3,0,0,3.0,1.5,4.67,2.0,3.0
2698,1,5,1,2,3,4,5,0,1,0,0,3.0,1.5,4.0,0.5,2.44
141,1,2,1,2,3,2,3,1,3,0,0,1.5,1.5,2.67,2.0,2.0
2195,1,3,1,2,3,2,3,1,1,0,0,2.0,1.5,2.67,1.0,1.89
1684,1,5,1,2,3,1,5,1,3,0,0,3.0,1.5,3.0,2.0,2.44
2709,1,1,1,1,1,2,4,1,3,0,0,1.0,1.0,2.33,2.0,1.67
3220,1,5,1,2,5,5,5,1,3,0,0,3.0,1.5,5.0,2.0,3.11
152,1,4,1,2,3,3,5,1,3,0,0,2.5,1.5,3.67,2.0,2.56
3233,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
166,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
2726,1,5,1,1,3,5,4,1,3,0,0,3.0,1.0,4.0,2.0,2.67
1705,1,5,1,3,3,5,5,1,3,0,0,3.0,2.0,4.33,2.0,3.0
2217,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
2731,1,4,1,2,3,5,5,1,3,0,0,2.5,1.5,4.33,2.0,2.78
2222,1,5,1,2,3,4,3,1,3,0,0,3.0,1.5,3.33,2.0,2.56
687,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
2224,1,5,1,3,4,5,5,1,3,0,0,3.0,2.0,4.67,2.0,3.11
2737,1,3,1,2,3,4,5,1,3,0,0,2.0,1.5,4.0,2.0,2.56
3248,1,5,1,1,3,5,5,0,1,0,0,3.0,1.0,4.33,0.5,2.44
3264,1,5,1,2,4,2,5,0,1,0,0,3.0,1.5,3.67,0.5,2.33
1229,1,5,1,3,5,5,5,1,4,0,0,3.0,2.0,5.0,2.5,3.33
1745,1,1,1,2,1,2,1,1,1,0,0,1.0,1.5,1.33,1.0,1.22
2773,1,5,1,2,3,3,5,0,1,0,0,3.0,1.5,3.67,0.5,2.33
726,1,3,1,2,3,2,3,1,1,0,0,2.0,1.5,2.67,1.0,1.89
1754,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
2780,1,2,1,3,2,3,2,1,2,0,0,1.5,2.0,2.33,1.5,1.89
2272,1,5,1,2,5,5,5,1,3,0,0,3.0,1.5,5.0,2.0,3.11
3297,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
1252,1,5,1,2,4,5,5,1,3,0,0,3.0,1.5,4.67,2.0,3.0
1261,1,5,1,2,3,3,5,1,3,0,0,3.0,1.5,3.67,2.0,2.67
2797,1,5,1,2,3,5,4,1,3,0,0,3.0,1.5,4.0,2.0,2.78
2799,1,5,1,2,3,1,3,1,3,0,0,3.0,1.5,2.33,2.0,2.22
2288,1,5,1,2,3,3,5,0,1,0,0,3.0,1.5,3.67,0.5,2.33
