id,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_summ,voice_note,Accuracy,Completeness,Organization,Synthesis,Overall
13,1,1,1,2,2,5,5,1,1,0,0,1.0,1.5,4.0,1.0,2.11
42,1,5,1,2,3,4,5,0,1,0,0,3.0,1.5,4.0,0.5,2.44
45,1,5,2,3,4,5,5,1,3,0,0,3.0,2.5,4.67,2.0,3.22
64,1,5,3,3,5,5,5,0,1,0,0,3.0,3.0,5.0,0.5,3.11
110,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
141,1,5,2,2,3,5,5,0,1,0,0,3.0,2.0,4.33,0.5,2.67
152,1,5,1,2,4,5,5,0,1,0,0,3.0,1.5,4.67,0.5,2.67
166,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
245,1,5,1,1,5,5,5,0,1,0,0,3.0,1.0,5.0,0.5,2.67
256,1,5,1,1,4,5,5,0,1,0,0,3.0,1.0,4.67,0.5,2.56
274,1,5,1,3,5,5,5,0,1,0,0,3.0,2.0,5.0,0.5,2.89
308,1,5,1,1,5,5,5,0,1,0,0,3.0,1.0,5.0,0.5,2.67
346,1,5,1,2,2,5,5,0,1,0,0,3.0,1.5,4.0,0.5,2.44
388,1,2,1,2,3,5,5,0,1,0,0,1.5,1.5,4.33,0.5,2.22
392,1,2,2,3,3,5,5,1,1,0,0,1.5,2.5,4.33,1.0,2.56
412,1,5,1,2,5,5,5,1,1,0,0,3.0,1.5,5.0,1.0,2.89
413,1,5,1,3,4,5,5,1,1,0,0,3.0,2.0,4.67,1.0,2.89
414,1,5,1,2,3,3,5,0,1,0,0,3.0,1.5,3.67,0.5,2.33
424,1,2,1,2,2,3,5,1,1,0,0,1.5,1.5,3.33,1.0,2.0
437,1,5,1,2,4,5,5,1,3,0,0,3.0,1.5,4.67,2.0,3.0
459,1,5,1,2,4,5,5,1,3,0,0,3.0,1.5,4.67,2.0,3.0
477,1,5,1,2,3,5,5,1,3,0,0,3.0,1.5,4.33,2.0,2.89
504,1,2,1,3,4,4,4,1,1,0,0,1.5,2.0,4.0,1.0,2.33
