id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
515,0.2047,0.0,0.2047,0.0288,0.0029,0.0014,0.001,0.001,0.0673,-0.4751
3082,0.0465,0.0235,0.0465,0.0099,0.0031,0.0022,0.0018,0.0018,0.0108,-0.6144
1547,0.1295,0.0584,0.1151,0.0338,0.021,0.0158,0.0116,0.0116,0.0676,-0.4656
13,0.0455,0.0115,0.0455,0.0,0.0,0.0,0.0,0.0,0.0107,-0.7138
3085,0.1264,0.0349,0.092,0.0113,0.0038,0.0012,0.0007,0.0007,0.0361,-0.4127
2071,0.2479,0.0168,0.1653,0.1989,0.0579,0.0179,0.01,0.01,0.1328,-0.4212
3095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7143
3098,0.1157,0.0,0.1074,0.0659,0.0063,0.0029,0.002,0.002,0.0456,-0.5368
3099,0.0909,0.0526,0.0909,0.0,0.0,0.0,0.0,0.0,0.0152,-0.2604
551,0.2295,0.0442,0.1858,0.1144,0.0375,0.0206,0.0086,0.0086,0.0967,-0.4785
1064,0.0678,0.0457,0.0678,0.0,0.0,0.0,0.0,0.0,0.0136,-0.6628
42,0.2099,0.05,0.1852,0.0026,0.0002,0.0001,0.0001,0.0001,0.0577,-0.3759
45,0.0248,0.0,0.0248,0.0,0.0,0.0,0.0,0.0,0.0078,-0.5314
3117,0.097,0.0368,0.0848,0.0769,0.0316,0.011,0.0065,0.0065,0.0389,-0.3024
559,0.2312,0.0117,0.1387,0.061,0.0054,0.0024,0.0016,0.0016,0.0703,-0.4622
1584,0.1429,0.0132,0.1039,0.1037,0.0369,0.0122,0.007,0.007,0.0654,-0.5831
1074,0.1268,0.0286,0.1127,0.056,0.0214,0.0073,0.0043,0.0043,0.0405,-0.3504
1076,0.2128,0.0576,0.1702,0.1634,0.0647,0.0379,0.0164,0.0164,0.1064,-0.474
2102,0.1031,0.0632,0.1031,0.001,0.0002,0.0002,0.0001,0.0001,0.0357,-0.2682
1083,0.2143,0.0482,0.1548,0.0688,0.0254,0.0146,0.0062,0.0062,0.0864,-0.435
2109,0.0971,0.0198,0.0971,0.0153,0.0078,0.003,0.0018,0.0018,0.0459,-0.5169
574,0.1059,0.0476,0.0941,0.0,0.0,0.0,0.0,0.0,0.026,-0.2688
64,0.2373,0.1754,0.2373,0.0655,0.0476,0.0347,0.0169,0.0169,0.118,-0.5119
580,0.0444,0.0,0.0444,0.0002,0.0001,0.0,0.0,0.0,0.0097,-0.4884
2130,0.241,0.0494,0.1687,0.0826,0.0319,0.011,0.0065,0.0065,0.07,-0.3245
2132,0.1677,0.0485,0.1557,0.0024,0.0011,0.0007,0.0003,0.0003,0.0593,-0.4231
3157,0.0921,0.0533,0.0921,0.0,0.0,0.0,0.0,0.0,0.0252,-0.8349
1628,0.124,0.0472,0.1085,0.0376,0.006,0.0033,0.0024,0.0024,0.0384,-0.714
1121,0.0282,0.0,0.0282,0.0,0.0,0.0,0.0,0.0,0.0044,-0.5321
3170,0.1148,0.05,0.1148,0.0143,0.0065,0.0024,0.0014,0.0014,0.0296,-0.2892
1124,0.2313,0.0828,0.1497,0.0628,0.0318,0.0082,0.0042,0.0042,0.0886,0.0814
614,0.1364,0.046,0.1364,0.0688,0.0327,0.0204,0.0091,0.0091,0.0609,-0.5146
2669,0.1938,0.0312,0.1705,0.1261,0.0401,0.0218,0.0091,0.0091,0.0892,-0.6171
110,0.28,0.0833,0.24,0.0644,0.0122,0.0072,0.0056,0.0056,0.066,-0.2523
1646,0.1636,0.0556,0.1455,0.0466,0.0075,0.0041,0.003,0.003,0.0379,-0.2313
1648,0.0594,0.0,0.0594,0.0147,0.0047,0.0033,0.0027,0.0027,0.0173,-0.497
3186,0.0726,0.0488,0.0726,0.0412,0.0338,0.02,0.0087,0.0087,0.0221,-0.5873
1651,0.2162,0.0,0.1622,0.0469,0.0111,0.0072,0.006,0.006,0.0694,-0.3873
2675,0.1633,0.1042,0.1429,0.0223,0.0162,0.0129,0.0099,0.0099,0.0449,-0.5753
1653,0.1449,0.0299,0.087,0.1167,0.0593,0.0222,0.0137,0.0137,0.0595,-0.3584
2174,0.3793,0.1977,0.3218,0.3023,0.1886,0.1083,0.0625,0.0625,0.2862,0.2387
1663,0.0569,0.0287,0.0569,0.0017,0.001,0.0007,0.0003,0.0003,0.0204,-0.4589
2687,0.1304,0.0441,0.1159,0.0003,0.0001,0.0,0.0,0.0,0.024,-0.3759
2691,0.0753,0.0217,0.0538,0.0001,0.0,0.0,0.0,0.0,0.0105,-0.385
1668,0.0559,0.0284,0.0559,0.0058,0.0013,0.0008,0.0007,0.0007,0.0104,-0.5905
648,0.098,0.0,0.0882,0.0656,0.0074,0.0036,0.0025,0.0025,0.0485,-0.6408
2698,0.4058,0.2537,0.3188,0.131,0.1019,0.0792,0.06,0.06,0.2235,0.3239
141,0.1709,0.0522,0.1368,0.1148,0.0437,0.0148,0.0086,0.0086,0.0797,-0.3955
2195,0.2222,0.064,0.1905,0.0205,0.0093,0.0053,0.0034,0.0034,0.0755,-0.4375
1684,0.2031,0.0317,0.1406,0.1231,0.0139,0.0067,0.0047,0.0047,0.0952,-0.4732
2709,0.0504,0.0,0.0504,0.0002,0.0,0.0,0.0,0.0,0.0157,-0.6272
3220,0.1042,0.0213,0.1042,0.0551,0.0102,0.0059,0.0045,0.0045,0.0296,-0.4947
152,0.2286,0.0435,0.1571,0.1007,0.0307,0.0097,0.0055,0.0055,0.0688,-0.4359
