id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
515,0.4729,0.2587,0.266,0.41,0.2949,0.226,0.1809,0.1809,0.3511,0.191
3082,0.2444,0.0337,0.1556,0.1251,0.035,0.0107,0.0059,0.0059,0.1024,-0.0363
1547,0.1518,0.0811,0.1161,0.124,0.085,0.0624,0.0451,0.0451,0.1251,-0.4178
13,0.248,0.0645,0.152,0.1216,0.05,0.0235,0.0091,0.0091,0.1075,-0.1217
3085,0.4821,0.3243,0.4196,0.2778,0.2166,0.1841,0.1616,0.1616,0.2774,0.3613
2071,0.6316,0.3817,0.4962,0.4571,0.364,0.301,0.2526,0.2526,0.4913,0.4564
3095,0.0774,0.0,0.0774,0.0652,0.0085,0.0043,0.0031,0.0031,0.0642,-0.1371
3098,0.4,0.1613,0.264,0.2498,0.1375,0.0712,0.0464,0.0464,0.1804,0.1303
3099,0.4211,0.2743,0.3333,0.2056,0.169,0.1472,0.132,0.132,0.2255,0.266
551,0.4934,0.2667,0.3524,0.3969,0.2639,0.1675,0.0796,0.0796,0.2626,0.2742
1064,0.2915,0.1878,0.251,0.0991,0.0731,0.0598,0.0502,0.0502,0.1293,-0.0202
42,0.3419,0.1207,0.2393,0.2648,0.1514,0.09,0.0585,0.0585,0.2086,-0.0027
45,0.3509,0.1062,0.2193,0.1734,0.0887,0.0449,0.0269,0.0269,0.1862,0.1702
3117,0.3094,0.1899,0.2873,0.1959,0.1565,0.1273,0.1071,0.1071,0.2343,0.1275
559,0.5225,0.2636,0.3514,0.4095,0.2939,0.2292,0.182,0.182,0.3193,0.3005
1584,0.4086,0.1739,0.2688,0.34,0.2113,0.1539,0.1171,0.1171,0.3472,0.1076
1074,0.5055,0.2556,0.4066,0.4276,0.3002,0.242,0.1951,0.1951,0.3123,0.2529
1076,0.6256,0.4145,0.4923,0.486,0.389,0.3212,0.2713,0.2713,0.5616,0.4092
2102,0.4146,0.0988,0.2195,0.3659,0.1503,0.0656,0.0244,0.0244,0.2271,0.1069
1083,0.4259,0.1963,0.287,0.2893,0.184,0.1198,0.0737,0.0737,0.2509,0.2746
2109,0.3931,0.2222,0.289,0.2941,0.2214,0.1866,0.1678,0.1678,0.3285,0.1018
574,0.3733,0.2422,0.2933,0.1707,0.1295,0.1012,0.0769,0.0769,0.24,0.0923
64,0.3357,0.0851,0.2238,0.1979,0.0791,0.0405,0.0164,0.0164,0.3271,0.1167
580,0.3689,0.0784,0.1942,0.2124,0.074,0.0362,0.0143,0.0143,0.1582,0.1204
2130,0.443,0.2436,0.3165,0.3021,0.1953,0.1175,0.0364,0.0364,0.41,0.3474
