id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
0,0.438,0.2574,0.292,0.2195,0.162,0.1335,0.1153,0.1153,0.2425,0.2591
1,0.48,0.2081,0.3429,0.4048,0.2705,0.1646,0.0484,0.0484,0.3411,0.2876
2,0.329,0.0786,0.2078,0.2141,0.0813,0.0372,0.0142,0.0142,0.1674,0.0795
3,0.5067,0.2432,0.3467,0.3548,0.2324,0.181,0.141,0.141,0.3979,0.3231
4,0.4928,0.3415,0.3768,0.444,0.3701,0.331,0.3051,0.3051,0.347,0.219
5,0.5347,0.37,0.3366,0.4481,0.3621,0.2973,0.2483,0.2483,0.4029,0.324
6,0.5278,0.3458,0.3519,0.3698,0.293,0.2534,0.2207,0.2207,0.3255,0.2707
7,0.5283,0.2966,0.317,0.3482,0.2515,0.1923,0.1533,0.1533,0.3041,0.2722
8,0.5268,0.2365,0.2732,0.3955,0.2349,0.1537,0.0912,0.0912,0.2657,0.3483
9,0.1728,0.0375,0.1358,0.16,0.0147,0.0067,0.0045,0.0045,0.0877,-0.1823
10,0.2888,0.0649,0.1818,0.2747,0.1353,0.0744,0.0465,0.0465,0.1845,-0.0836
11,0.3425,0.1229,0.232,0.2336,0.1328,0.0876,0.06,0.06,0.2222,0.1725
12,0.2074,0.0902,0.163,0.1038,0.0545,0.0305,0.0129,0.0129,0.2576,0.1496
13,0.3415,0.1393,0.2033,0.1639,0.0771,0.0315,0.0113,0.0113,0.166,0.0802
14,0.3351,0.0952,0.199,0.2515,0.0992,0.0214,0.0099,0.0099,0.1542,0.04
15,0.6927,0.5123,0.6049,0.5825,0.5013,0.4432,0.4053,0.4053,0.6228,0.5873
16,0.4368,0.2907,0.3448,0.3444,0.2782,0.2363,0.2065,0.2065,0.3637,0.3963
17,0.6234,0.5,0.5714,0.4556,0.411,0.3818,0.3556,0.3556,0.6862,0.5171
18,0.3359,0.1085,0.1985,0.2143,0.1136,0.068,0.0444,0.0444,0.2627,0.0637
19,0.3676,0.1093,0.227,0.2989,0.1444,0.107,0.0874,0.0874,0.2389,0.1347
20,0.3333,0.1552,0.3077,0.2234,0.1588,0.118,0.0949,0.0949,0.2277,-0.015
21,0.3459,0.1527,0.2556,0.2564,0.1731,0.1467,0.131,0.131,0.3504,0.0765
22,0.2761,0.0864,0.1718,0.0776,0.0385,0.0261,0.019,0.019,0.1362,0.0079
23,0.3804,0.1366,0.2945,0.3059,0.1707,0.1206,0.0962,0.0962,0.2555,0.3163
24,0.4935,0.25,0.3506,0.4396,0.3083,0.2429,0.2057,0.2057,0.3281,0.2307
25,0.3,0.1304,0.2286,0.1905,0.1071,0.0749,0.0567,0.0567,0.1997,0.103
26,0.3976,0.3049,0.3735,0.2692,0.2229,0.1982,0.1813,0.1813,0.3449,0.1595
27,0.3286,0.1884,0.2714,0.236,0.1717,0.145,0.1298,0.1298,0.3426,0.0968
28,0.2404,0.0884,0.1858,0.1917,0.122,0.1007,0.0884,0.0884,0.1372,-0.0315
29,0.3333,0.1429,0.2525,0.2678,0.1527,0.097,0.0548,0.0548,0.2049,0.0721
30,0.2767,0.0876,0.1818,0.1672,0.0868,0.0556,0.0375,0.0375,0.1517,0.0527
31,0.3046,0.12,0.1854,0.1269,0.0746,0.0473,0.0341,0.0341,0.1653,0.0343
32,0.3051,0.1026,0.2373,0.1999,0.112,0.0707,0.0474,0.0474,0.1835,0.0691
33,0.3455,0.0917,0.2,0.212,0.0938,0.0395,0.0145,0.0145,0.1663,0.0808
34,0.3333,0.1625,0.2716,0.2245,0.1443,0.0954,0.0654,0.0654,0.2757,0.2207
35,0.49,0.4291,0.4819,0.2237,0.2088,0.195,0.1823,0.1823,0.3012,0.3024
36,0.4318,0.1985,0.2879,0.2595,0.165,0.1167,0.0879,0.0879,0.2732,0.1728
37,0.4975,0.2814,0.3682,0.3987,0.2933,0.2198,0.1691,0.1691,0.3454,0.3215
38,0.4066,0.1222,0.2198,0.2902,0.1352,0.0835,0.05,0.05,0.2387,0.1316
39,0.4444,0.1711,0.2434,0.3778,0.2161,0.1384,0.0978,0.0978,0.2835,0.1326
40,0.4865,0.1639,0.2486,0.3636,0.1926,0.1152,0.0751,0.0751,0.2984,0.1927
41,0.4167,0.2,0.2708,0.3068,0.1455,0.0627,0.0232,0.0232,0.2563,0.2006
42,0.4655,0.2522,0.2845,0.3192,0.227,0.164,0.1291,0.1291,0.3075,0.167
43,0.5228,0.3119,0.4255,0.22,0.1698,0.1414,0.1243,0.1243,0.2842,0.326
44,0.2878,0.1594,0.2446,0.0707,0.0529,0.0413,0.0346,0.0346,0.1246,-0.0771
45,0.4219,0.1872,0.2616,0.2576,0.1649,0.1154,0.0791,0.0791,0.2438,0.2102
46,0.4065,0.2338,0.2839,0.1296,0.1014,0.0842,0.0695,0.0695,0.178,0.231
47,0.2478,0.1081,0.1416,0.1205,0.0542,0.0154,0.0082,0.0082,0.2166,-0.0131
48,0.4096,0.122,0.253,0.2667,0.1095,0.0514,0.0199,0.0199,0.2455,0.0834
49,0.5665,0.4069,0.4893,0.349,0.2913,0.2515,0.2181,0.2181,0.3523,0.4007
50,0.5662,0.3318,0.3927,0.4076,0.2845,0.2109,0.1602,0.1602,0.3815,0.4144
51,0.4275,0.1395,0.3359,0.2471,0.1213,0.0261,0.0121,0.0121,0.315,0.3084
52,0.3253,0.061,0.2048,0.2529,0.0939,0.0218,0.0105,0.0105,0.192,0.0002
53,0.4837,0.169,0.2512,0.3821,0.2064,0.1139,0.06,0.06,0.3032,0.236
54,0.4536,0.2396,0.3093,0.3918,0.271,0.2041,0.1586,0.1586,0.3324,0.2313
55,0.349,0.068,0.1611,0.2262,0.0522,0.0149,0.008,0.008,0.2488,0.0991
56,0.3927,0.129,0.2374,0.2846,0.1551,0.0937,0.0614,0.0614,0.1901,0.124
57,0.3723,0.2581,0.2979,0.3364,0.2785,0.2447,0.2229,0.2229,0.2447,0.2302
58,0.25,0.0759,0.1875,0.1989,0.0501,0.0147,0.008,0.008,0.1379,-0.1081
59,0.3385,0.1244,0.1846,0.3131,0.1958,0.1334,0.0928,0.0928,0.216,0.0818
