id,SummaC,QAFactEval,MedNER-P,MedNER-R,MedNER-F1
515,-0.2729,0.5,0.0,0.0,0.0
3082,0.1523,0.5,1.0,0.0204,0.04
1547,0.2798,0.5,0.0,0.0,0.0
13,0.0039,0.3333,0.0,0.0,0.0
3085,0.2073,0.5,0.0,0.0,0.0
2071,0.2988,0.5,0.0,0.0,0.0
3095,-0.1746,0.5,0.0,0.0,0.0
3098,0.3838,0.5,0.0,0.0,0.0
3099,0.1023,0.5,0.0,0.0,0.0
551,0.4147,0.5,0.0,0.0,0.0
1064,0.4469,0.3333,0.0,0.0,0.0
42,0.2424,0.5,0.0,0.0,0.0
45,0.4655,0.5,0.0,0.0,0.0
3117,-0.072,0.5,0.0,0.0,0.0
559,0.23,0.5,0.0,0.0,0.0
1584,0.2825,0.3333,0.0,0.0,0.0
1074,0.2278,0.5,0.0,0.0,0.0
1076,0.6587,0.1667,0.6667,0.087,0.1538
2102,-0.5498,0.5,0.0,0.0,0.0
1083,0.175,0.5,0.0,0.0,0.0
2109,-0.6304,0.5,0.0,0.0,0.0
574,0.3511,0.5,0.0,0.0,0.0
64,-0.0861,0.5,0.0,0.0,0.0
580,0.0137,0.5,0.0,0.0,0.0
2130,-0.7728,0.5,0.0,0.0,0.0
2132,0.0618,0.5,0.0,0.0,0.0
3157,0.0586,0.3333,0.0,0.0,0.0
1628,0.6553,0.5,0.0,0.0,0.0
1121,-0.03,0.5,0.0,0.0,0.0
3170,0.6819,0.5,0.5,0.1429,0.2222
1124,-0.4512,0.5,0.6,0.2308,0.3333
614,-0.0713,0.5,0.0,0.0,0.0
2669,0.3013,0.5,0.0,0.0,0.0
110,0.2867,0.3333,0.0,0.0,0.0
1646,0.3693,0.5,1.0,0.1111,0.2
1648,-0.2261,0.5,0.0,0.0,0.0
3186,0.3467,0.5,0.0,0.0,0.0
1651,-0.1809,0.5,0.0,0.0,0.0
2675,0.4036,0.5,0.0,0.0,0.0
1653,0.3301,0.5,0.0,0.0,0.0
2174,0.0109,0.5,0.8,0.4444,0.5714
1663,-0.293,0.5,0.0,0.0,0.0
2687,0.2302,0.5,0.0,0.0,0.0
2691,0.1763,0.5,0.0,0.0,0.0
1668,0.3855,0.5,0.0,0.0,0.0
648,0.5675,0.5,0.0,0.0,0.0
2698,-0.3748,0.5,1.0,0.25,0.4
141,0.5422,0.5,0.0,0.0,0.0
2195,-0.0676,0.5,0.0,0.0,0.0
1684,0.0181,0.5,0.0,0.0,0.0
2709,-0.1621,0.5,0.0,0.0,0.0
3220,0.3127,0.5,0.0,0.0,0.0
152,-0.2336,0.5,0.0,0.0,0.0
3233,0.1545,0.5,0.0,0.0,0.0
166,0.3145,0.5,0.0,0.0,0.0
2726,0.3042,0.5,0.0,0.0,0.0
1705,0.126,0.5,0.0,0.0,0.0
2217,0.0295,0.3333,0.0,0.0,0.0
2731,0.5986,0.5,0.0,0.0,0.0
2222,0.182,0.5,0.0,0.0,0.0
687,-0.3503,0.3333,0.0,0.0,0.0
2224,0.4941,0.5,0.5,0.0244,0.0465
2737,-0.2246,0.5,0.0,0.0,0.0
