id,SummaC,QAFactEval,MedNER-P,MedNER-R,MedNER-F1
515,-0.7346,0.3333,0.0,0.0,0.0
3082,-0.4507,0.5,0.0,0.0,0.0
1547,-0.6866,0.5,0.0,0.0,0.0
13,-0.1211,0.5,0.0,0.0,0.0
3085,-0.7987,0.5,0.0,0.0,0.0
2071,-0.7461,0.5,0.0,0.0,0.0
3095,-0.9208,0.5,0.0,0.0,0.0
3098,-0.7993,0.5,0.0,0.0,0.0
3099,-0.9188,0.5,0.0,0.0,0.0
551,-0.9472,0.5,0.0,0.0,0.0
1064,-0.7041,0.5,0.0,0.0,0.0
42,-0.9532,0.5,0.0,0.0,0.0
45,-0.7998,0.5,0.0,0.0,0.0
3117,-0.3779,0.5,0.0,0.0,0.0
559,-0.7021,0.5,0.0,0.0,0.0
1584,-0.7158,0.5,0.0,0.0,0.0
1074,-0.933,0.5,0.0,0.0,0.0
1076,-0.859,0.5,0.0,0.0,0.0
2102,-0.5295,0.5,0.0,0.0,0.0
1083,-0.8321,0.3333,0.0,0.0,0.0
2109,-0.8798,0.5,0.0,0.0,0.0
574,-0.9251,0.5,0.0,0.0,0.0
64,-0.2515,0.5,0.0,0.0,0.0
580,-0.6904,0.5,0.0,0.0,0.0
2130,-0.7449,0.5,0.0,0.0,0.0
2132,-0.8857,0.5,0.0,0.0,0.0
3157,-0.5714,0.3333,0.0,0.0,0.0
1628,-0.9811,0.3333,0.0,0.0,0.0
1121,-0.8031,0.5,0.0,0.0,0.0
3170,-0.9074,0.5,0.0,0.0,0.0
1124,-0.935,0.5,0.0,0.0,0.0
614,-0.6685,0.5,0.0,0.0,0.0
2669,-0.2567,0.3333,0.0,0.0,0.0
110,-0.804,0.5,0.0,0.0,0.0
1646,-0.9067,0.5,0.0,0.0,0.0
1648,-0.7794,0.5,0.0,0.0,0.0
3186,-0.7225,0.5,0.0,0.0,0.0
1651,-0.8777,0.5,0.0,0.0,0.0
2675,-0.8042,0.5,0.0,0.0,0.0
1653,-0.0784,0.5,0.0,0.0,0.0
2174,-0.5708,0.5,0.0,0.0,0.0
1663,-0.8099,0.5,0.0,0.0,0.0
2687,-0.8974,0.3333,0.0,0.0,0.0
2691,-0.9562,0.5,0.0,0.0,0.0
1668,-0.7558,0.3333,0.0,0.0,0.0
648,-0.3123,0.3333,0.0,0.0,0.0
2698,-0.0767,0.5,0.0,0.0,0.0
141,-0.9567,0.5,0.0,0.0,0.0
2195,-0.8414,0.5,0.0,0.0,0.0
1684,-0.8048,0.5,0.0,0.0,0.0
2709,-0.636,0.3333,0.0,0.0,0.0
3220,-0.0881,0.5,0.0,0.0,0.0
152,0.1055,0.5,0.0,0.0,0.0
3233,-0.7965,0.5,0.0,0.0,0.0
166,-0.7531,0.5,0.0,0.0,0.0
2726,-0.5627,0.5,0.0,0.0,0.0
1705,-0.8589,0.5,0.0,0.0,0.0
2217,-0.6272,0.5,0.0,0.0,0.0
2731,-0.9367,0.5,0.0,0.0,0.0
2222,-0.84,0.3333,0.0,0.0,0.0
687,-0.844,0.5,0.0,0.0,0.0
2224,-0.6838,0.5,0.0,0.0,0.0
2737,-0.5991,0.5,0.0,0.0,0.0
3248,0.4349,0.5,0.0,0.0,0.0
3264,-0.873,0.5,0.0,0.0,0.0
1229,-0.8656,0.5,0.0,0.0,0.0
1745,-0.2977,0.5,0.0,0.0,0.0
2773,-0.5955,0.5,0.0,0.0,0.0
726,-0.9114,0.5,0.0,0.0,0.0
1754,-0.6892,0.5,0.0,0.0,0.0
2780,-0.7134,0.5,0.0,0.0,0.0
2272,-0.9189,0.5,0.0,0.0,0.0
3297,-0.4568,0.5,0.0,0.0,0.0
1252,-0.2642,0.5,0.0,0.0,0.0
1261,-0.5664,0.5,0.0,0.0,0.0
2797,-0.3804,0.5,0.0,0.0,0.0
2799,-0.9495,0.5,0.0,0.0,0.0
2288,-0.767,0.3333,0.0,0.0,0.0
245,0.0609,0.5,0.0,0.0,0.0
1783,-0.9848,0.5,0.0,0.0,0.0
3320,0.0745,0.5,0.0,0.0,0.0
2809,-0.1965,0.5,0.0,0.0,0.0
1787,-0.7626,0.5,0.0,0.0,0.0
2303,-0.3376,0.5,0.0,0.0,0.0
256,-0.8478,0.3333,0.0,0.0,0.0
3327,-0.9061,0.3333,0.0,0.0,0.0
3330,-0.8483,0.5,0.0,0.0,0.0
2307,-0.3293,0.5,0.0,0.0,0.0
