id,SummaC,QAFactEval,MedNER-P,MedNER-R,MedNER-F1
515,0.4089,0.5,0.0,0.0,0.0
3082,0.0588,1.0,1.0,0.0816,0.1509
1547,-0.1531,0.1667,0.3333,0.05,0.087
13,-0.3102,0.6667,1.0,0.1714,0.2927
3085,0.4801,1.0,1.0,0.25,0.4
2071,0.4158,0.6667,1.0,0.1111,0.2
3095,-0.7628,0.5,0.5,0.0909,0.1538
3098,0.1642,0.6667,1.0,0.1667,0.2857
3099,-0.0034,0.5,0.8889,0.2353,0.3721
551,0.1749,0.3333,1.0,0.3333,0.5
1064,-0.2891,0.6667,1.0,0.2143,0.3529
42,0.1896,0.8333,1.0,0.4118,0.5833
45,0.0617,0.8333,1.0,0.1176,0.2105
3117,-0.0402,0.1667,1.0,0.1,0.1818
559,0.1762,0.3333,1.0,0.3077,0.4706
1584,0.5699,0.6667,0.0,0.0,0.0
1074,0.0415,0.3333,1.0,0.4,0.5714
1076,0.0576,0.6667,1.0,0.3913,0.5625
2102,0.3029,0.8333,1.0,0.1591,0.2745
1083,0.415,1.0,1.0,0.3684,0.5385
2109,0.3792,0.5,0.0,0.0,0.0
574,0.118,0.8333,1.0,0.25,0.4
64,0.3254,0.8333,1.0,0.75,0.8571
580,0.0155,0.3333,1.0,0.375,0.5455
2130,0.1045,0.5,0.5714,0.1905,0.2857
2132,0.0512,0.6667,0.8333,0.1724,0.2857
3157,0.0533,0.5,1.0,0.1429,0.25
1628,0.2035,0.8333,1.0,0.2667,0.4211
1121,-0.1919,0.3333,0.5,0.1,0.1667
3170,0.2245,0.5,1.0,0.5714,0.7273
1124,-0.1107,0.3333,0.625,0.3846,0.4762
614,0.0608,0.6667,0.0,0.0,0.0
2669,0.5034,0.6667,1.0,0.2857,0.4444
110,0.3112,0.5,1.0,0.4815,0.65
1646,0.1742,0.8333,1.0,0.3333,0.5
1648,0.2061,0.6667,1.0,0.1515,0.2632
3186,0.1166,1.0,1.0,0.25,0.4
1651,0.1532,0.6667,1.0,0.5333,0.6957
2675,0.0285,0.3333,1.0,0.52,0.6842
1653,0.2662,0.6667,1.0,0.75,0.8571
2174,0.148,0.8333,1.0,0.7778,0.875
1663,0.1724,0.3333,0.9,0.2143,0.3462
2687,0.4202,0.5,1.0,0.5,0.6667
2691,-0.055,0.5,1.0,0.1176,0.2105
1668,0.3435,0.5,1.0,0.3125,0.4762
648,-0.2656,0.5,0.6667,0.0588,0.1081
2698,0.2193,1.0,1.0,0.5,0.6667
141,0.1412,0.8333,1.0,0.5,0.6667
2195,0.1878,1.0,1.0,0.1842,0.3111
1684,0.3472,1.0,1.0,0.4286,0.6
2709,-0.0209,0.6667,1.0,0.125,0.2222
3220,0.3038,1.0,1.0,0.1739,0.2963
152,0.2697,0.5,1.0,0.2273,0.3704
3233,0.2922,0.8333,1.0,0.2703,0.4255
166,0.3448,0.5,1.0,0.4286,0.6
2726,0.1366,0.8333,1.0,0.2778,0.4348
1705,0.2073,0.8333,1.0,0.1429,0.25
2217,0.001,0.5,1.0,0.125,0.2222
2731,0.2943,0.5,1.0,0.1765,0.3
2222,0.5367,0.8333,1.0,0.1818,0.3077
687,0.6049,0.8333,1.0,0.3529,0.5217
2224,0.2656,0.6667,1.0,0.1463,0.2553
2737,-0.0208,0.3333,0.0,0.0,0.0
3248,0.1009,0.8333,1.0,0.25,0.4
3264,-0.0137,0.6667,1.0,0.5,0.6667
1229,0.1722,0.6667,0.8571,0.5,0.6316
1745,0.3003,0.6667,1.0,0.2917,0.4516
2773,0.1116,0.8333,1.0,0.6667,0.8
726,0.1971,0.5,1.0,0.55,0.7097
1754,0.3844,0.8333,1.0,0.6667,0.8
2780,0.151,0.6667,1.0,0.25,0.4
2272,0.2293,0.6667,0.5,0.0588,0.1053
3297,0.1275,0.8333,1.0,0.36,0.5294
1252,0.0978,0.3333,1.0,0.0833,0.1538
1261,0.2266,1.0,1.0,0.2632,0.4167
2797,0.075,0.8333,1.0,0.1333,0.2353
2799,0.5336,1.0,1.0,0.8,0.8889
2288,0.0194,0.6667,1.0,0.2333,0.3784
245,0.073,0.8333,1.0,0.12,0.2143
1783,0.262,0.8333,1.0,0.7143,0.8333
3320,0.237,1.0,1.0,0.5833,0.7368
2809,0.1746,0.5,0.0,0.0,0.0
1787,0.1111,1.0,1.0,0.1176,0.2105
2303,0.0201,0.6667,1.0,0.1765,0.3
256,0.1697,0.1667,1.0,0.2,0.3333
3327,0.0419,0.8333,1.0,0.1579,0.2727
3330,0.1134,0.6667,1.0,0.1667,0.2857
2307,0.1683,0.3333,1.0,0.8571,0.9231
3331,0.2183,0.8333,1.0,0.3333,0.5
2822,0.3322,0.8333,0.0,0.0,0.0
2312,-0.1594,0.3333,0.6667,0.0741,0.1333
1291,0.1354,0.3333,1.0,0.08,0.1481
1293,-0.2041,0.6667,0.8333,0.082,0.1493
2829,0.0658,0.3333,1.0,0.2353,0.381
2320,-0.1798,0.5,1.0,0.2333,0.3784
274,0.0821,0.6667,1.0,0.6,0.75
1810,0.1004,1.0,1.0,0.3333,0.5
789,0.0103,0.5,1.0,0.1429,0.25
1302,0.0604,1.0,1.0,0.4783,0.6471
2332,0.324,1.0,1.0,0.2727,0.4286
1821,0.3103,0.6667,1.0,0.2941,0.4545
1827,0.3353,0.8333,1.0,0.2667,0.4211
3372,0.1025,0.8333,1.0,0.8571,0.9231
814,0.3062,0.5,0.8571,0.2069,0.3333
1327,0.1973,0.5,1.0,0.5,0.6667
1840,0.4192,1.0,1.0,0.1818,0.3077
308,-0.0472,0.6667,1.0,0.0952,0.1739
2881,-0.0513,0.6667,1.0,0.4,0.5714
1858,0.2906,0.5,1.0,0.3704,0.5405
1861,0.3253,1.0,0.6667,0.3333,0.4444
1351,0.0333,0.8333,1.0,0.3333,0.5
1358,0.2325,0.6667,1.0,1.0,1.0
2894,0.4314,0.8333,1.0,0.7778,0.875
1360,0.159,0.5,1.0,0.0741,0.1379
853,0.635,0.5,1.0,0.1429,0.25
1369,-0.1123,0.3333,1.0,0.2143,0.3529
346,0.2962,0.1667,1.0,0.1579,0.2727
1371,0.085,0.6667,1.0,0.0526,0.1
2907,0.11,0.6667,1.0,0.3,0.4615
2908,0.0425,0.5,1.0,0.5385,0.7
1374,-0.0959,0.3333,0.0,0.0,0.0
1379,0.2766,0.8333,1.0,0.0952,0.1739
1383,0.0776,0.6667,1.0,0.2812,0.439
1897,-0.2315,0.8333,1.0,0.2222,0.3636
1900,0.2576,0.5,1.0,0.1875,0.3158
1901,0.1315,0.8333,1.0,0.0952,0.1739
881,0.0,0.5,0.0,0.0,0.0
1395,0.1691,0.6667,1.0,0.5,0.6667
886,0.2146,0.8333,1.0,0.2222,0.3636
1914,-0.0601,0.5,0.0,0.0,0.0
892,0.2308,0.6667,1.0,0.5,0.6667
2432,0.4204,1.0,1.0,0.8235,0.9032
1922,-0.1029,0.3333,1.0,0.25,0.4
1411,0.2317,0.8333,1.0,0.4091,0.5806
388,0.1465,0.5,1.0,0.1667,0.2857
2950,-0.2607,0.3333,1.0,0.5294,0.6923
392,0.0487,0.6667,1.0,0.2,0.3333
904,0.4141,1.0,1.0,0.2083,0.3448
1937,0.0805,1.0,1.0,0.2308,0.375
2967,0.3164,0.5,0.6,0.25,0.3529
1944,0.14,0.8333,1.0,0.6,0.75
412,0.3297,0.3333,1.0,0.1389,0.2439
413,0.1466,0.5,1.0,0.1765,0.3
414,0.1859,0.6667,1.0,0.5,0.6667
932,0.2679,0.5,1.0,0.1,0.1818
2983,-0.0311,0.5,0.8,0.0889,0.16
