id,SummaC,QAFactEval,MedNER-P,MedNER-R,MedNER-F1
515,-0.1154,0.3333,0.75,0.3333,0.4615
3082,0.1337,0.6667,1.0,0.1429,0.25
1547,-0.2995,0.5,0.75,0.15,0.25
13,-0.4834,0.5,0.8333,0.1429,0.2439
3085,0.3198,0.6667,1.0,0.5,0.6667
2071,0.3625,0.6667,1.0,0.1111,0.2
3095,-0.3174,0.3333,0.3333,0.0909,0.1429
3098,0.18,0.6667,1.0,0.1667,0.2857
3099,0.0688,0.5,1.0,0.2647,0.4186
551,0.2015,0.3333,1.0,0.3333,0.5
1064,-0.0184,0.3333,1.0,0.25,0.4
42,0.2488,0.3333,1.0,0.3529,0.5217
45,-0.0971,0.5,0.7692,0.1471,0.2469
3117,-0.1685,0.1667,0.8,0.2,0.32
559,-0.4282,0.5,1.0,0.3846,0.5556
1584,0.3658,0.5,0.0,0.0,0.0
1074,0.011,0.6667,1.0,0.4,0.5714
1076,0.045,0.0,0.8333,0.2174,0.3448
2102,0.226,0.5,0.8333,0.1136,0.2
1083,0.0084,0.6667,1.0,0.1579,0.2727
2109,0.132,0.6667,1.0,0.0769,0.1429
574,-0.2252,0.5,1.0,0.4375,0.6087
64,0.4716,0.8333,1.0,0.5,0.6667
580,0.2896,0.6667,1.0,0.5,0.6667
2130,-0.4735,0.5,0.8333,0.2381,0.3704
2132,-0.0897,0.5,1.0,0.1724,0.2941
3157,-0.0841,0.3333,0.875,0.3333,0.4828
1628,0.1225,0.1667,1.0,0.3333,0.5
1121,-0.0246,0.5,1.0,0.15,0.2609
3170,0.24,0.5,1.0,0.5714,0.7273
1124,-0.0029,0.5,0.7143,0.3846,0.5
614,0.2197,0.5,1.0,0.2,0.3333
2669,0.5162,0.5,1.0,0.1429,0.25
110,0.2923,0.5,1.0,0.4815,0.65
1646,0.0988,0.5,1.0,0.2222,0.3636
1648,0.1069,0.6667,0.8333,0.1515,0.2564
3186,0.1243,1.0,1.0,0.25,0.4
1651,0.173,0.3333,1.0,0.6,0.75
