id,SummaC,QAFactEval,MedNER-P,MedNER-R,MedNER-F1
515,0.1254,1.0,1.0,0.5556,0.7143
3082,-0.4566,0.6667,1.0,0.0612,0.1154
1547,0.2405,0.3333,0.0,0.0,0.0
13,-0.2118,0.6667,1.0,0.0857,0.1579
3085,-0.3272,0.6667,0.75,0.375,0.5
2071,0.0853,0.6667,1.0,0.1111,0.2
3095,0.0467,0.6667,1.0,0.1818,0.3077
3098,0.0751,0.6667,1.0,0.1667,0.2857
3099,-0.3225,0.5,0.7778,0.2059,0.3256
551,-0.0108,0.3333,1.0,0.0833,0.1538
1064,-0.2782,0.3333,0.8571,0.1071,0.1905
42,0.01,0.6667,1.0,0.4118,0.5833
45,-0.3588,0.8333,0.7692,0.1471,0.2469
3117,0.0255,0.1667,1.0,0.05,0.0952
559,-0.0062,0.5,0.8,0.3077,0.4444
1584,0.163,0.5,0.0,0.0,0.0
1074,-0.0131,0.6667,0.8333,0.5,0.625
1076,0.0696,0.5,0.875,0.3043,0.4516
2102,0.0675,0.8333,1.0,0.0909,0.1667
1083,-0.1877,0.8333,0.875,0.3684,0.5185
2109,0.0326,0.6667,1.0,0.4615,0.6316
574,-0.016,0.5,1.0,0.25,0.4
64,0.2222,0.8333,1.0,0.5,0.6667
580,0.1726,0.6667,1.0,0.375,0.5455
2130,0.2005,0.5,1.0,0.4762,0.6452
2132,-0.1943,0.6667,0.625,0.1724,0.2703
3157,-0.3641,0.5,1.0,0.1429,0.25
1628,0.0731,0.5,1.0,0.3333,0.5
1121,0.0513,0.8333,1.0,0.05,0.0952
3170,0.1023,0.8333,1.0,0.4286,0.6
1124,-0.1142,0.3333,0.7778,0.5385,0.6364
614,0.1821,0.3333,0.0,0.0,0.0
2669,0.2685,0.5,0.6667,0.2857,0.4
110,0.3531,0.5,1.0,0.4815,0.65
1646,0.123,0.8333,1.0,0.2222,0.3636
1648,0.2477,0.3333,0.75,0.0909,0.1622
3186,-0.002,1.0,1.0,0.2917,0.4516
1651,0.0604,0.3333,1.0,0.5333,0.6957
2675,-0.2809,0.6667,0.7,0.28,0.4
