id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
515,0.6492,0.3915,0.5236,0.5383,0.4043,0.3314,0.2766,0.2766,0.491,0.4504
3082,0.3153,0.0697,0.2069,0.2632,0.1058,0.0494,0.019,0.019,0.152,0.0335
1547,0.4516,0.2609,0.3763,0.3721,0.2783,0.2268,0.19,0.19,0.3068,0.2911
13,0.3415,0.1393,0.2033,0.1639,0.0771,0.0315,0.0113,0.0113,0.166,0.0815
3085,0.5862,0.4609,0.5172,0.392,0.3377,0.296,0.2672,0.2672,0.4125,0.4558
2071,0.5419,0.3137,0.4129,0.3587,0.2664,0.2226,0.1877,0.1877,0.4207,0.4956
3095,0.3586,0.1538,0.2621,0.2222,0.1491,0.0945,0.0574,0.0574,0.2161,0.3089
3098,0.336,0.1048,0.192,0.1927,0.0984,0.0626,0.0466,0.0466,0.1358,0.0455
3099,0.4667,0.2437,0.3583,0.2932,0.2037,0.1582,0.1316,0.1316,0.2882,0.2942
551,0.4444,0.2617,0.3056,0.3128,0.2253,0.171,0.1135,0.1135,0.248,0.2793
1064,0.5581,0.4219,0.4574,0.2523,0.2127,0.1874,0.1642,0.1642,0.32,0.4215
42,0.4655,0.2522,0.2845,0.3192,0.227,0.164,0.1291,0.1291,0.3075,0.1703
45,0.4219,0.1872,0.2616,0.2576,0.1649,0.1154,0.0791,0.0791,0.2438,0.21
3117,0.4405,0.2169,0.3452,0.3827,0.2679,0.2154,0.1789,0.1789,0.3542,0.1503
559,0.5156,0.2332,0.3467,0.3963,0.2669,0.1918,0.1425,0.1425,0.2558,0.3517
1584,0.4944,0.2045,0.3258,0.3736,0.2411,0.1735,0.1374,0.1374,0.3535,0.194
1074,0.5137,0.3646,0.4153,0.472,0.3899,0.3448,0.3027,0.3027,0.3768,0.2836
1076,0.5414,0.2905,0.4199,0.4688,0.3295,0.2467,0.1952,0.1952,0.4292,0.335
2102,0.4828,0.1977,0.2874,0.3696,0.2114,0.1354,0.0956,0.0956,0.3086,0.2476
1083,0.3119,0.1111,0.2385,0.2261,0.1237,0.0733,0.0511,0.0511,0.1689,0.1822
2109,0.4872,0.2857,0.4359,0.3624,0.2534,0.1923,0.1626,0.1626,0.3563,0.2436
574,0.5,0.2479,0.3475,0.2511,0.1648,0.1014,0.0694,0.0694,0.2642,0.3512
64,0.3309,0.0876,0.2158,0.2069,0.085,0.044,0.0178,0.0178,0.3219,0.103
580,0.3474,0.0758,0.1878,0.2521,0.0941,0.0428,0.0163,0.0163,0.1616,0.1033
2130,0.5641,0.4156,0.4487,0.3936,0.3187,0.2604,0.2099,0.2099,0.5887,0.5264
2132,0.3139,0.181,0.287,0.1646,0.1172,0.0919,0.0747,0.0747,0.1784,0.0333
3157,0.5641,0.3621,0.4615,0.3952,0.3095,0.2513,0.2063,0.2063,0.4128,0.4167
1628,0.5795,0.2874,0.3523,0.4831,0.3396,0.2583,0.2061,0.2061,0.3929,0.3747
1121,0.424,0.1488,0.2581,0.2438,0.1281,0.0719,0.0489,0.0489,0.1954,0.1437
3170,0.3422,0.1189,0.2353,0.2746,0.1562,0.065,0.0236,0.0236,0.1907,0.1356
1124,0.2365,0.0697,0.1675,0.1973,0.0768,0.0181,0.0088,0.0088,0.1391,0.0281
614,0.3961,0.1951,0.2995,0.3149,0.2073,0.1165,0.0619,0.0619,0.2181,0.1783
2669,0.5041,0.2667,0.2479,0.2666,0.1835,0.1207,0.0747,0.0747,0.2748,0.2098
110,0.2439,0.0661,0.1463,0.1034,0.011,0.0052,0.0036,0.0036,0.1333,0.058
1646,0.4472,0.1761,0.2981,0.3068,0.168,0.0869,0.0527,0.0527,0.2689,0.2071
1648,0.2452,0.0523,0.1677,0.163,0.0733,0.0391,0.0161,0.0161,0.1648,0.033
3186,0.569,0.4979,0.5356,0.4196,0.3947,0.3858,0.3807,0.3807,0.452,0.2992
1651,0.2524,0.1386,0.2524,0.1486,0.1009,0.0751,0.0588,0.0588,0.2444,0.0905
2675,0.478,0.3567,0.4528,0.4231,0.3555,0.3105,0.2734,0.2734,0.3913,0.3603
1653,0.2177,0.0828,0.1497,0.0865,0.029,0.0094,0.0053,0.0053,0.122,0.0909
2174,0.3114,0.097,0.2395,0.2593,0.1139,0.0254,0.012,0.012,0.2274,0.0383
1663,0.2555,0.163,0.2118,0.0664,0.0545,0.0497,0.0463,0.0463,0.1438,0.0547
2687,0.4635,0.303,0.3348,0.4121,0.3308,0.2822,0.2457,0.2457,0.3502,0.2591
2691,0.5152,0.2672,0.3106,0.3317,0.2338,0.1874,0.1619,0.1619,0.2785,0.3079
1668,0.3618,0.1218,0.2814,0.2754,0.1455,0.0744,0.0252,0.0252,0.2411,0.2199
648,0.3543,0.1156,0.2171,0.2809,0.1495,0.0801,0.0494,0.0494,0.2123,0.1471
2698,0.6508,0.568,0.6032,0.4867,0.4524,0.4289,0.4114,0.4114,0.4727,0.5456
141,0.3879,0.1595,0.2303,0.2232,0.1345,0.069,0.0417,0.0417,0.3469,0.2653
2195,0.4518,0.301,0.3787,0.2126,0.1774,0.1621,0.1532,0.1532,0.2709,0.2305
1684,0.4231,0.2208,0.2179,0.2796,0.1988,0.1448,0.1078,0.1078,0.2991,0.2592
2709,0.2648,0.0369,0.1553,0.243,0.0958,0.0206,0.0096,0.0096,0.1468,-0.0908
3220,0.3312,0.129,0.2548,0.2143,0.1329,0.0717,0.0444,0.0444,0.2607,0.0228
152,0.442,0.2346,0.3425,0.3953,0.2641,0.188,0.148,0.148,0.2911,0.2005
3233,0.2484,0.0629,0.1739,0.16,0.0569,0.0149,0.0076,0.0076,0.1773,-0.0301
166,0.3644,0.1796,0.2429,0.2771,0.1922,0.1551,0.1321,0.1321,0.2281,0.195
2726,0.4569,0.2769,0.3655,0.3292,0.259,0.2113,0.1848,0.1848,0.3079,0.28
1705,0.3765,0.1786,0.3059,0.2653,0.1654,0.1125,0.0819,0.0819,0.2846,0.2554
2217,0.3889,0.1798,0.2667,0.2706,0.139,0.0775,0.0275,0.0275,0.2267,0.1057
