id,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_summ,voice_note,Accuracy,Completeness,Organization,Synthesis,Overall
515,1,2,1,1,3,4,5,0,1,0,0,1.5,1.0,4.0,0.5,2.0
3082,1,1,1,2,2,2,2,0,1,0,0,1.0,1.5,2.0,0.5,1.33
1547,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
13,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
3085,1,1,1,1,4,3,3,1,1,0,0,1.0,1.0,3.33,1.0,1.78
2071,1,5,2,4,5,3,5,1,1,1,1,3.0,3.0,4.33,1.0,3.0
3095,1,5,1,3,5,5,5,0,1,0,0,3.0,2.0,5.0,0.5,2.89
3098,1,5,1,2,5,4,5,0,1,0,0,3.0,1.5,4.67,0.5,2.67
3099,1,1,1,1,1,1,5,1,1,0,0,1.0,1.0,2.33,1.0,1.44
551,1,3,1,1,2,2,3,0,1,0,0,2.0,1.0,2.33,0.5,1.56
1064,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
42,1,3,1,2,3,3,3,0,1,0,0,2.0,1.5,3.0,0.5,1.89
45,1,1,1,1,2,2,4,1,1,0,0,1.0,1.0,2.67,1.0,1.56
3117,1,1,1,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.5,0.89
559,1,3,2,3,4,4,5,1,3,0,0,2.0,2.5,4.33,2.0,2.89
1584,1,3,1,1,1,1,3,0,1,0,0,2.0,1.0,1.67,0.5,1.33
1074,1,1,1,1,1,1,5,0,1,0,0,1.0,1.0,2.33,0.5,1.33
1076,1,5,2,3,4,5,4,1,1,0,0,3.0,2.5,4.33,1.0,2.89
2102,1,3,1,2,1,2,5,0,1,0,0,2.0,1.5,2.67,0.5,1.78
1083,1,3,2,2,2,3,3,1,3,0,0,2.0,2.0,2.67,2.0,2.22
2109,1,5,1,2,2,5,5,0,1,0,0,3.0,1.5,4.0,0.5,2.44
574,1,5,1,2,3,4,5,0,1,0,0,3.0,1.5,4.0,0.5,2.44
64,1,5,1,2,5,5,5,1,1,0,0,3.0,1.5,5.0,1.0,2.89
580,1,3,1,2,2,2,4,0,1,0,0,2.0,1.5,2.67,0.5,1.78
2130,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
2132,1,1,1,1,1,1,3,1,1,0,0,1.0,1.0,1.67,1.0,1.22
3157,1,2,1,1,2,3,2,0,1,0,0,1.5,1.0,2.33,0.5,1.44
1628,1,5,1,1,1,2,5,0,1,0,0,3.0,1.0,2.67,0.5,1.89
1121,1,5,1,1,1,3,5,0,1,0,0,3.0,1.0,3.0,0.5,2.0
3170,1,5,1,2,3,5,5,0,3,0,0,3.0,1.5,4.33,1.5,2.78
1124,1,3,2,3,3,4,4,0,1,0,0,2.0,2.5,3.67,0.5,2.33
614,1,5,1,2,2,2,3,0,1,0,0,3.0,1.5,2.33,0.5,1.89
2669,1,3,1,2,2,2,2,0,1,0,0,2.0,1.5,2.0,0.5,1.56
110,1,5,1,2,3,5,5,0,1,0,0,3.0,1.5,4.33,0.5,2.56
1646,1,5,1,2,3,2,4,0,1,0,0,3.0,1.5,3.0,0.5,2.11
1648,1,5,1,2,4,5,4,1,1,0,0,3.0,1.5,4.33,1.0,2.67
3186,1,3,1,2,2,3,3,1,1,0,0,2.0,1.5,2.67,1.0,1.89
1651,1,2,1,2,3,4,5,0,1,0,0,1.5,1.5,4.0,0.5,2.11
